symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
VLO,2000-01-03 00:00:00+00:00,19.13,20.13,18.69,19.88,241650,2.5531551341,2.6866185494,2.4944312314,2.6532526956,966600,0.0,1.0
VLO,2000-01-04 00:00:00+00:00,18.94,19.06,18.5,19.06,294050,2.5277970852,2.5438126951,2.4690731825,2.5438126951,1176200,0.0,1.0
VLO,2000-01-05 00:00:00+00:00,19.81,19.81,19.0,19.13,216500,2.6439102565,2.6439102565,2.5358048901,2.5531551341,866000,0.0,1.0
VLO,2000-01-06 00:00:00+00:00,20.25,20.5,19.25,19.63,316275,2.7026341592,2.7360000131,2.569170744,2.6198868418,1265100,0.0,1.0
VLO,2000-01-07 00:00:00+00:00,20.0,20.31,19.75,20.25,141125,2.6692683054,2.7106419641,2.6359024516,2.7026341592,564500,0.0,1.0
VLO,2000-01-10 00:00:00+00:00,19.94,20.13,19.25,20.13,294500,2.6612605005,2.6866185494,2.569170744,2.6866185494,1178000,0.0,1.0
VLO,2000-01-11 00:00:00+00:00,19.63,19.69,19.31,19.63,228425,2.6198868418,2.6278946467,2.5771785489,2.6198868418,913700,0.0,1.0
VLO,2000-01-12 00:00:00+00:00,19.75,20.13,19.5,19.63,306975,2.6359024516,2.6866185494,2.6025365978,2.6198868418,1227900,0.0,1.0
VLO,2000-01-13 00:00:00+00:00,19.94,20.44,19.75,19.88,166375,2.6612605005,2.7279922081,2.6359024516,2.6532526956,665500,0.0,1.0
VLO,2000-01-14 00:00:00+00:00,20.13,20.38,20.13,20.13,211125,2.6866185494,2.7199844032,2.6866185494,2.6866185494,844500,0.0,1.0
VLO,2000-01-18 00:00:00+00:00,21.38,21.38,20.13,20.25,234000,2.8534478185,2.8534478185,2.6866185494,2.7026341592,936000,0.0,1.0
VLO,2000-01-19 00:00:00+00:00,21.38,21.56,21.19,21.25,149875,2.8534478185,2.8774712332,2.8280897696,2.8360975745,599500,0.0,1.0
VLO,2000-01-20 00:00:00+00:00,22.19,22.25,21.38,21.5,190550,2.9615531849,2.9695609898,2.8534478185,2.8694634283,762200,0.0,1.0
VLO,2000-01-21 00:00:00+00:00,22.75,22.88,22.13,22.19,759225,3.0362926974,3.0536429414,2.9535453799,2.9615531849,3036900,0.0,1.0
VLO,2000-01-24 00:00:00+00:00,21.31,22.75,21.25,22.75,321950,2.8441053794,3.0362926974,2.8360975745,3.0362926974,1287800,0.0,1.0
VLO,2000-01-25 00:00:00+00:00,21.06,21.69,21.06,21.5,326000,2.8107395256,2.8948214772,2.8107395256,2.8694634283,1304000,0.0,1.0
