symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
VRSN,2000-01-03 00:00:00+00:00,190.1,206.0,185.8,203.0,2270100,161.8807843995,175.4205238627,158.2190938529,172.8658560395,2270100,0.0,1.0
VRSN,2000-01-04 00:00:00+00:00,188.4,199.8,180.0,182.0,3002200,160.4331392997,170.140877028,153.2800693946,154.9831812768,3002200,0.0,1.0
VRSN,2000-01-05 00:00:00+00:00,174.6,185.0,153.4,184.0,6886600,148.6816673128,157.5378491,130.6286813619,156.6862931589,6886600,0.0,1.0
VRSN,2000-01-06 00:00:00+00:00,155.1,181.0,153.0,176.4,4003200,132.0763264617,154.1316253357,130.2880589854,150.2144680067,4003200,0.0,1.0
VRSN,2000-01-07 00:00:00+00:00,169.8,174.9,147.9,153.5,3803200,144.5941987956,148.9371340951,125.9451236859,130.713836956,3803200,0.0,1.0
VRSN,2000-01-10 00:00:00+00:00,181.8,190.0,178.6,188.0,2829000,154.8128700886,161.7956288054,152.0878910771,160.0925169233,2829000,0.0,1.0
VRSN,2000-01-11 00:00:00+00:00,165.8,183.0,165.4,180.2,3086900,141.1879750313,155.8347372179,140.8473526548,153.4503805828,3086900,0.0,1.0
VRSN,2000-01-12 00:00:00+00:00,160.4,170.0,156.1,168.5,2698100,136.5895729494,144.7645099838,132.9278824028,143.4871760722,2698100,0.0,1.0
VRSN,2000-01-13 00:00:00+00:00,176.0,176.3,161.5,162.0,2367500,149.8738456303,150.1293124126,137.5262844846,137.9520624552,2367500,0.0,1.0
VRSN,2000-01-14 00:00:00+00:00,183.4,184.0,172.8,180.3,2871400,156.1753595943,156.6862931589,147.1488666188,153.5355361769,2871400,0.0,1.0
VRSN,2000-01-18 00:00:00+00:00,196.9,202.0,186.1,188.0,3296500,167.6713647989,172.0143000984,158.4745606352,160.0925169233,3296500,0.0,1.0
VRSN,2000-01-19 00:00:00+00:00,195.1,206.1,193.3,199.5,2001900,166.1385641049,175.5056794568,164.605763411,169.8854102457,2001900,0.0,1.0
VRSN,2000-01-20 00:00:00+00:00,209.0,213.6,197.8,200.6,3311100,177.975191686,181.8923490149,168.4377651459,170.8221217809,3311100,0.0,1.0
VRSN,2000-01-21 00:00:00+00:00,207.9,213.9,189.6,213.9,3977200,177.0384801508,182.1478157973,161.455006429,182.1478157973,3977200,0.0,1.0
VRSN,2000-01-24 00:00:00+00:00,195.9,215.3,191.5,212.0,3228500,166.8198088578,183.3399941148,163.072962717,180.5298595092,3228500,0.0,1.0
VRSN,2000-01-25 00:00:00+00:00,196.9,200.0,183.6,199.6,2458600,167.6713647989,170.3111882162,156.3456707825,169.9705658398,2458600,0.0,1.0
VRSN,2000-01-26 00:00:00+00:00,189.8,193.9,187.1,193.0,1544400,161.6253176172,165.1166969756,159.3261165763,164.3502966287,1544400,0.0,1.0
VRSN,2000-01-27 00:00:00+00:00,175.0,193.6,173.0,192.1,2134400,149.0222896892,164.8612301933,147.319177807,163.5838962817,2134400,0.0,1.0
VRSN,2000-01-28 00:00:00+00:00,164.5,182.9,160.0,170.3,2609400,140.0809523079,155.7495816237,136.248950573,145.0199767661,2609400,0.0,1.0
VRSN,2000-01-31 00:00:00+00:00,161.4,164.4,146.6,164.1,3986600,137.4411288905,139.9957967137,124.8381009625,139.7403299314,3986600,0.0,1.0
VRSN,2000-02-01 00:00:00+00:00,169.4,173.1,155.4,162.4,2572100,144.2535764192,147.4043334012,132.331793244,138.2926848316,2572100,0.0,1.0
VRSN,2000-02-02 00:00:00+00:00,175.2,182.5,166.1,170.8,2698300,149.1926008774,155.4089592473,141.4434418136,145.4457547367,2698300,0.0,1.0
VRSN,2000-02-03 00:00:00+00:00,182.5,187.7,176.6,179.3,2426800,155.4089592473,159.8370501409,150.3847791949,152.6839802359,2426800,0.0,1.0
VRSN,2000-02-04 00:00:00+00:00,188.9,195.3,183.5,186.8,1921000,160.8589172702,166.3088752932,156.2605151884,159.070649794,1921000,0.0,1.0
VRSN,2000-02-07 00:00:00+00:00,182.6,188.9,180.5,188.9,1960100,155.4941148414,160.8589172702,153.7058473652,160.8589172702,1960100,0.0,1.0
VRSN,2000-02-08 00:00:00+00:00,189.4,190.5,184.0,184.8,1791800,161.2846952408,162.221406776,156.6862931589,157.3675379118,1791800,0.0,1.0
VRSN,2000-02-09 00:00:00+00:00,194.8,200.9,185.8,189.7,3379700,165.8830973226,171.0775885632,158.2190938529,161.5401620231,3379700,0.0,1.0
VRSN,2000-02-10 00:00:00+00:00,219.8,223.0,198.1,199.0,5188600,187.1719958496,189.8969748611,168.6932319282,169.4596322752,5188600,0.0,1.0
VRSN,2000-02-11 00:00:00+00:00,209.0,222.0,200.0,222.0,3005700,177.975191686,189.04541892,170.3111882162,189.04541892,3005700,0.0,1.0
VRSN,2000-02-14 00:00:00+00:00,201.5,209.0,200.0,209.0,2080100,171.5885221279,177.975191686,170.3111882162,177.975191686,2080100,0.0,1.0
