symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
VRTX,2000-01-03 00:00:00+00:00,37.5,37.56,35.25,35.5,505000,18.75,18.78,17.625,17.75,1010000,0.0,1.0
VRTX,2000-01-04 00:00:00+00:00,34.56,36.63,34.5,36.5,132700,17.28,18.315,17.25,18.25,265400,0.0,1.0
VRTX,2000-01-05 00:00:00+00:00,33.5,34.25,33.0,34.25,101000,16.75,17.125,16.5,17.125,202000,0.0,1.0
VRTX,2000-01-06 00:00:00+00:00,33.5,33.88,33.13,33.25,135300,16.75,16.94,16.565,16.625,270600,0.0,1.0
VRTX,2000-01-07 00:00:00+00:00,36.44,37.0,33.0,33.0,406600,18.22,18.5,16.5,16.5,813200,0.0,1.0
VRTX,2000-01-10 00:00:00+00:00,37.56,38.25,36.38,36.91,653200,18.78,19.125,18.19,18.455,1306400,0.0,1.0
VRTX,2000-01-11 00:00:00+00:00,39.56,40.13,36.88,37.38,604400,19.78,20.065,18.44,18.69,1208800,0.0,1.0
VRTX,2000-01-12 00:00:00+00:00,39.13,39.88,38.0,39.75,421200,19.565,19.94,19.0,19.875,842400,0.0,1.0
VRTX,2000-01-13 00:00:00+00:00,39.13,39.63,38.63,38.63,462800,19.565,19.815,19.315,19.315,925600,0.0,1.0
VRTX,2000-01-14 00:00:00+00:00,44.0,46.0,38.94,39.03,275400,22.0,23.0,19.47,19.515,550800,0.0,1.0
VRTX,2000-01-18 00:00:00+00:00,42.44,44.0,41.44,43.44,134000,21.22,22.0,20.72,21.72,268000,0.0,1.0
VRTX,2000-01-19 00:00:00+00:00,42.19,42.63,39.63,42.59,319000,21.095,21.315,19.815,21.295,638000,0.0,1.0
VRTX,2000-01-20 00:00:00+00:00,44.28,46.13,42.13,42.13,275000,22.14,23.065,21.065,21.065,550000,0.0,1.0
VRTX,2000-01-21 00:00:00+00:00,49.19,50.5,44.0,44.06,548000,24.595,25.25,22.0,22.03,1096000,0.0,1.0
VRTX,2000-01-24 00:00:00+00:00,48.19,49.25,47.88,48.0,274600,24.095,24.625,23.94,24.0,549200,0.0,1.0
VRTX,2000-01-25 00:00:00+00:00,44.25,49.75,43.0,49.38,310400,22.125,24.875,21.5,24.69,620800,0.0,1.0
VRTX,2000-01-26 00:00:00+00:00,44.25,47.13,44.0,44.25,388600,22.125,23.565,22.0,22.125,777200,0.0,1.0
VRTX,2000-01-27 00:00:00+00:00,42.06,46.5,41.25,43.78,280300,21.03,23.25,20.625,21.89,560600,0.0,1.0
VRTX,2000-01-28 00:00:00+00:00,41.72,42.25,40.63,42.25,156300,20.86,21.125,20.315,21.125,312600,0.0,1.0
VRTX,2000-01-31 00:00:00+00:00,41.0,41.88,39.88,41.28,246200,20.5,20.94,19.94,20.64,492400,0.0,1.0
VRTX,2000-02-01 00:00:00+00:00,39.59,40.88,37.75,40.81,384900,19.795,20.44,18.875,20.405,769800,0.0,1.0
VRTX,2000-02-02 00:00:00+00:00,42.0,42.25,39.5,39.56,275700,21.0,21.125,19.75,19.78,551400,0.0,1.0
VRTX,2000-02-03 00:00:00+00:00,44.44,45.5,42.56,44.75,261900,22.22,22.75,21.28,22.375,523800,0.0,1.0
VRTX,2000-02-04 00:00:00+00:00,47.5,48.0,42.38,44.0,307700,23.75,24.0,21.19,22.0,615400,0.0,1.0
VRTX,2000-02-07 00:00:00+00:00,49.5,53.75,46.63,47.63,396000,24.75,26.875,23.315,23.815,792000,0.0,1.0
