symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
WAB,2000-01-03 00:00:00+00:00,17.19,17.56,16.69,17.56,90700,7.9747404021,8.1463898465,7.7427816935,8.1463898465,181400,0.0,1.0
WAB,2000-01-04 00:00:00+00:00,16.94,17.0,16.62,17.0,96700,7.8587610478,7.8865960928,7.7103074743,7.8865960928,193400,0.0,1.0
WAB,2000-01-05 00:00:00+00:00,16.88,16.88,16.5,16.75,152400,7.8309260028,7.8309260028,7.6546373842,7.7706167385,304800,0.0,1.0
WAB,2000-01-06 00:00:00+00:00,16.19,16.81,15.88,16.81,99500,7.5108229849,7.7984517836,7.3670085855,7.7984517836,199000,0.0,1.0
WAB,2000-01-07 00:00:00+00:00,15.56,16.19,15.5,16.19,115700,7.218555012,7.5108229849,7.190719967,7.5108229849,231400,0.0,1.0
WAB,2000-01-10 00:00:00+00:00,15.75,16.0,15.25,15.88,168500,7.3066993213,7.4226786756,7.0747406127,7.3670085855,337000,0.0,1.0
WAB,2000-01-11 00:00:00+00:00,15.31,15.62,15.06,15.62,159000,7.1025756577,7.2463900571,6.9865963034,7.2463900571,318000,0.0,1.0
WAB,2000-01-12 00:00:00+00:00,14.5,15.31,14.38,15.31,109800,6.7268025498,7.1025756577,6.6711324597,7.1025756577,219600,0.0,1.0
WAB,2000-01-13 00:00:00+00:00,14.62,14.69,14.5,14.62,47800,6.7824726398,6.814946859,6.7268025498,6.7824726398,95600,0.0,1.0
WAB,2000-01-14 00:00:00+00:00,13.81,14.88,13.5,14.88,377500,6.4066995319,6.9030911683,6.2628851325,6.9030911683,755000,0.0,1.0
WAB,2000-01-18 00:00:00+00:00,13.75,13.75,13.38,13.69,215900,6.3788644868,6.3788644868,6.2072150425,6.3510294418,431800,0.0,1.0
WAB,2000-01-19 00:00:00+00:00,14.0,14.19,13.75,13.75,130900,6.4948438412,6.5829881504,6.3788644868,6.3788644868,261800,0.0,1.0
WAB,2000-01-20 00:00:00+00:00,14.0,14.56,13.88,14.06,262900,6.4948438412,6.7546375948,6.4391737511,6.5226788862,525800,0.0,1.0
WAB,2000-01-21 00:00:00+00:00,13.81,14.0,13.75,13.81,383800,6.4066995319,6.4948438412,6.3788644868,6.4066995319,767600,0.0,1.0
WAB,2000-01-24 00:00:00+00:00,13.56,14.0,13.5,13.88,129100,6.2907201776,6.4948438412,6.2628851325,6.4391737511,258200,0.0,1.0
WAB,2000-01-25 00:00:00+00:00,12.44,13.38,12.12,13.38,327000,5.7711326703,6.2072150425,5.6226790968,6.2072150425,654000,0.0,1.0
WAB,2000-01-26 00:00:00+00:00,11.75,12.38,11.56,12.38,260600,5.4510296524,5.7432976252,5.3628853431,5.7432976252,521200,0.0,1.0
WAB,2000-01-27 00:00:00+00:00,11.56,11.94,11.56,11.75,136200,5.3628853431,5.5391739617,5.3628853431,5.4510296524,272400,0.0,1.0
WAB,2000-01-28 00:00:00+00:00,11.31,11.62,11.25,11.56,49200,5.2469059888,5.3907203882,5.2190709438,5.3628853431,98400,0.0,1.0
WAB,2000-01-31 00:00:00+00:00,11.12,11.38,11.06,11.19,151700,5.1587616795,5.279380208,5.1309266345,5.1912358987,303400,0.0,1.0
WAB,2000-02-01 00:00:00+00:00,11.12,11.31,10.88,11.25,145100,5.1587616795,5.2469059888,5.0474214994,5.2190709438,290200,0.0,1.0
WAB,2000-02-02 00:00:00+00:00,11.44,11.56,11.25,11.31,91300,5.3072152531,5.3628853431,5.2190709438,5.2469059888,182600,0.0,1.0
WAB,2000-02-03 00:00:00+00:00,11.5,11.62,11.44,11.44,98100,5.3350502981,5.3907203882,5.3072152531,5.3072152531,196200,0.0,1.0
WAB,2000-02-04 00:00:00+00:00,11.56,11.69,11.5,11.56,205700,5.3628853431,5.4231946074,5.3350502981,5.3628853431,411400,0.0,1.0
WAB,2000-02-07 00:00:00+00:00,11.75,12.12,11.5,11.62,61500,5.4510296524,5.6226790968,5.3350502981,5.3907203882,123000,0.0,1.0
WAB,2000-02-08 00:00:00+00:00,11.62,12.06,11.56,12.06,85400,5.3907203882,5.5948440517,5.3628853431,5.5948440517,170800,0.0,1.0
WAB,2000-02-09 00:00:00+00:00,11.88,12.19,11.5,11.75,138100,5.5113389166,5.655153316,5.3350502981,5.4510296524,276200,0.0,1.0
WAB,2000-02-10 00:00:00+00:00,12.62,12.75,11.88,12.0,65200,5.8546378054,5.9149470696,5.5113389166,5.5670090067,130400,0.0,1.0
WAB,2000-02-11 00:00:00+00:00,12.88,13.06,12.19,12.5,69200,5.979895508,6.0634654763,5.659543963,5.8034700194,138400,0.01,1.0
WAB,2000-02-14 00:00:00+00:00,12.44,12.88,12.12,12.88,97000,5.7756133633,5.979895508,5.6270445308,5.979895508,194000,0.0,1.0
WAB,2000-02-15 00:00:00+00:00,11.56,12.06,11.56,12.0,115700,5.367049074,5.5991878748,5.367049074,5.5713312187,231400,0.0,1.0
WAB,2000-02-16 00:00:00+00:00,11.38,11.75,11.12,11.69,188400,5.2834791057,5.4552618183,5.1627669293,5.4274051622,376800,0.0,1.0
WAB,2000-02-17 00:00:00+00:00,11.5,12.12,11.31,11.5,148400,5.3391924179,5.6270445308,5.2509796736,5.3391924179,296800,0.0,1.0
WAB,2000-02-18 00:00:00+00:00,11.25,11.56,11.25,11.5,184000,5.2231230175,5.367049074,5.2231230175,5.3391924179,368000,0.0,1.0
WAB,2000-02-22 00:00:00+00:00,11.19,11.25,11.12,11.19,64800,5.1952663614,5.2231230175,5.1627669293,5.1952663614,129600,0.0,1.0
WAB,2000-02-23 00:00:00+00:00,10.94,11.38,10.81,11.31,84100,5.079196961,5.2834791057,5.0188408728,5.2509796736,168200,0.0,1.0
WAB,2000-02-24 00:00:00+00:00,10.5,10.94,10.5,10.88,123900,4.8749148163,5.079196961,4.8749148163,5.0513403049,247800,0.0,1.0
WAB,2000-02-25 00:00:00+00:00,9.5,10.44,9.0,10.44,553400,4.4106372148,4.8470581602,4.178498414,4.8470581602,1106800,0.0,1.0
WAB,2000-02-28 00:00:00+00:00,9.31,9.69,9.19,9.5,327600,4.3224244705,4.4988499591,4.2667111583,4.4106372148,655200,0.0,1.0
WAB,2000-02-29 00:00:00+00:00,9.5,9.5,9.31,9.44,303600,4.4106372148,4.4106372148,4.3224244705,4.3827805587,607200,0.0,1.0
WAB,2000-03-01 00:00:00+00:00,9.75,9.94,9.62,9.62,203100,4.5267066152,4.6149193595,4.466350527,4.466350527,406200,0.0,1.0
WAB,2000-03-02 00:00:00+00:00,9.75,9.88,9.62,9.88,153900,4.5267066152,4.5870627034,4.466350527,4.5870627034,307800,0.0,1.0
WAB,2000-03-03 00:00:00+00:00,9.62,9.75,9.56,9.69,114900,4.466350527,4.5267066152,4.4384938709,4.4988499591,229800,0.0,1.0
WAB,2000-03-06 00:00:00+00:00,8.81,9.5,8.75,9.5,282500,4.0902856697,4.4106372148,4.0624290136,4.4106372148,565000,0.0,1.0
WAB,2000-03-07 00:00:00+00:00,8.88,8.88,8.44,8.81,441700,4.1227851018,4.1227851018,3.9185029571,4.0902856697,883400,0.0,1.0
WAB,2000-03-08 00:00:00+00:00,8.88,9.06,8.69,8.75,269000,4.1227851018,4.2063550701,4.0345723575,4.0624290136,538000,0.0,1.0
WAB,2000-03-09 00:00:00+00:00,9.25,9.25,8.88,8.88,551600,4.2945678144,4.2945678144,4.1227851018,4.1227851018,1103200,0.0,1.0
WAB,2000-03-10 00:00:00+00:00,9.12,9.25,9.0,9.0,198900,4.2342117262,4.2945678144,4.178498414,4.178498414,397800,0.0,1.0
WAB,2000-03-13 00:00:00+00:00,9.31,9.62,9.0,9.0,118500,4.3224244705,4.466350527,4.178498414,4.178498414,237000,0.0,1.0
WAB,2000-03-14 00:00:00+00:00,9.94,10.5,9.56,9.69,250500,4.6149193595,4.8749148163,4.4384938709,4.4988499591,501000,0.0,1.0
WAB,2000-03-15 00:00:00+00:00,10.94,11.06,10.31,10.38,225200,5.079196961,5.1349102732,4.786702072,4.8192015041,450400,0.0,1.0
