symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
WAT,2000-01-03 00:00:00+00:00,51.5,53.38,50.5,53.25,336800,25.75,26.69,25.25,26.625,673600,0.0,1.0
WAT,2000-01-04 00:00:00+00:00,49.0,51.5,48.88,51.5,389600,24.5,25.75,24.44,25.75,779200,0.0,1.0
WAT,2000-01-05 00:00:00+00:00,52.0,52.25,50.06,50.5,650200,26.0,26.125,25.03,25.25,1300400,0.0,1.0
WAT,2000-01-06 00:00:00+00:00,50.5,52.75,50.25,51.75,643900,25.25,26.375,25.125,25.875,1287800,0.0,1.0
WAT,2000-01-07 00:00:00+00:00,52.06,52.81,50.13,50.25,204000,26.03,26.405,25.065,25.125,408000,0.0,1.0
WAT,2000-01-10 00:00:00+00:00,50.31,52.88,50.0,52.13,873900,25.155,26.44,25.0,26.065,1747800,0.0,1.0
WAT,2000-01-11 00:00:00+00:00,49.31,50.19,48.75,50.19,391900,24.655,25.095,24.375,25.095,783800,0.0,1.0
WAT,2000-01-12 00:00:00+00:00,49.06,49.5,48.5,49.5,149400,24.53,24.75,24.25,24.75,298800,0.0,1.0
WAT,2000-01-13 00:00:00+00:00,49.13,49.38,48.63,49.13,336900,24.565,24.69,24.315,24.565,673800,0.0,1.0
WAT,2000-01-14 00:00:00+00:00,48.5,49.38,48.06,49.25,831500,24.25,24.69,24.03,24.625,1663000,0.0,1.0
WAT,2000-01-18 00:00:00+00:00,47.63,48.25,45.94,48.25,860000,23.815,24.125,22.97,24.125,1720000,0.0,1.0
WAT,2000-01-19 00:00:00+00:00,46.31,47.88,45.0,47.88,1049500,23.155,23.94,22.5,23.94,2099000,0.0,1.0
WAT,2000-01-20 00:00:00+00:00,44.0,45.88,43.94,45.31,844500,22.0,22.94,21.97,22.655,1689000,0.0,1.0
WAT,2000-01-21 00:00:00+00:00,48.0,48.0,44.0,44.38,1084800,24.0,24.0,22.0,22.19,2169600,0.0,1.0
WAT,2000-01-24 00:00:00+00:00,50.19,50.5,48.5,49.5,1071800,25.095,25.25,24.25,24.75,2143600,0.0,1.0
