symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
WDC,2000-01-03 00:00:00+00:00,3.94,4.25,3.94,4.25,2461900,3.1581732202,3.4066589304,3.1581732202,3.4066589304,2461900,0.0,1.0
WDC,2000-01-04 00:00:00+00:00,4.688,5.0,3.875,3.938,7660300,3.757745192,4.0078340358,3.1060713778,3.1565700866,7660300,0.0,1.0
WDC,2000-01-05 00:00:00+00:00,4.625,4.75,4.125,4.75,3944600,3.7072464831,3.807442334,3.3064630796,3.807442334,3944600,0.0,1.0
WDC,2000-01-06 00:00:00+00:00,4.563,4.688,4.313,4.5,2468400,3.6575493411,3.757745192,3.4571576393,3.6070506322,2468400,0.0,1.0
WDC,2000-01-07 00:00:00+00:00,5.625,5.625,4.625,4.625,9783000,4.5088132903,4.5088132903,3.7072464831,3.7072464831,9783000,0.0,1.0
WDC,2000-01-10 00:00:00+00:00,5.0,5.563,5.0,5.5,4961300,4.0078340358,4.4591161483,4.0078340358,4.4086174394,4961300,0.0,1.0
WDC,2000-01-11 00:00:00+00:00,4.625,5.125,4.5,4.875,4393600,3.7072464831,4.1080298867,3.6070506322,3.9076381849,4393600,0.0,1.0
WDC,2000-01-12 00:00:00+00:00,4.563,5.0,4.0,4.938,3791800,3.6575493411,4.0078340358,3.2062672287,3.9581368938,3791800,0.0,1.0
WDC,2000-01-13 00:00:00+00:00,4.313,4.875,4.25,4.75,2919000,3.4571576393,3.9076381849,3.4066589304,3.807442334,2919000,0.0,1.0
WDC,2000-01-14 00:00:00+00:00,4.5,4.75,4.313,4.375,2952200,3.6070506322,3.807442334,3.4571576393,3.5068547813,2952200,0.0,1.0
WDC,2000-01-18 00:00:00+00:00,5.125,5.25,4.563,4.875,4523500,4.1080298867,4.2082257376,3.6575493411,3.9076381849,4523500,0.0,1.0
WDC,2000-01-19 00:00:00+00:00,6.688,6.688,5.0,5.063,7651500,5.3608788063,5.3608788063,4.0078340358,4.0583327447,7651500,0.0,1.0
WDC,2000-01-20 00:00:00+00:00,5.563,6.375,5.313,6.375,8872700,4.4591161483,5.1099883957,4.2587244465,5.1099883957,8872700,0.0,1.0
WDC,2000-01-21 00:00:00+00:00,5.125,5.563,5.0,5.5,3447300,4.1080298867,4.4591161483,4.0078340358,4.4086174394,3447300,0.0,1.0
WDC,2000-01-24 00:00:00+00:00,4.75,5.375,4.75,5.313,3333300,3.807442334,4.3084215885,3.807442334,4.2587244465,3333300,0.0,1.0
WDC,2000-01-25 00:00:00+00:00,5.5,5.5,4.75,4.875,3379800,4.4086174394,4.4086174394,3.807442334,3.9076381849,3379800,0.0,1.0
WDC,2000-01-26 00:00:00+00:00,5.75,5.75,4.938,5.25,2750500,4.6090091412,4.6090091412,3.9581368938,4.2082257376,2750500,0.0,1.0
WDC,2000-01-27 00:00:00+00:00,4.625,5.375,4.625,5.125,3692800,3.7072464831,4.3084215885,3.7072464831,4.1080298867,3692800,0.0,1.0
WDC,2000-01-28 00:00:00+00:00,5.0,5.125,4.688,4.75,2153600,4.0078340358,4.1080298867,3.757745192,3.807442334,2153600,0.0,1.0
WDC,2000-01-31 00:00:00+00:00,4.75,4.938,4.625,4.938,1273400,3.807442334,3.9581368938,3.7072464831,3.9581368938,1273400,0.0,1.0
WDC,2000-02-01 00:00:00+00:00,4.688,4.813,4.563,4.75,1669000,3.757745192,3.8579410429,3.6575493411,3.807442334,1669000,0.0,1.0
WDC,2000-02-02 00:00:00+00:00,4.75,4.75,4.563,4.625,1297000,3.807442334,3.807442334,3.6575493411,3.7072464831,1297000,0.0,1.0
WDC,2000-02-03 00:00:00+00:00,5.063,5.188,4.625,4.688,3049900,4.0583327447,4.1585285956,3.7072464831,3.757745192,3049900,0.0,1.0
WDC,2000-02-04 00:00:00+00:00,5.063,5.25,4.875,5.188,2031000,4.0583327447,4.2082257376,3.9076381849,4.1585285956,2031000,0.0,1.0
WDC,2000-02-07 00:00:00+00:00,5.25,5.5,5.0,5.063,2992100,4.2082257376,4.4086174394,4.0078340358,4.0583327447,2992100,0.0,1.0
WDC,2000-02-08 00:00:00+00:00,5.125,5.563,5.0,5.25,3046000,4.1080298867,4.4591161483,4.0078340358,4.2082257376,3046000,0.0,1.0
WDC,2000-02-09 00:00:00+00:00,5.0,5.188,4.875,5.125,1744700,4.0078340358,4.1585285956,3.9076381849,4.1080298867,1744700,0.0,1.0
WDC,2000-02-10 00:00:00+00:00,4.813,5.0,4.75,5.0,2456600,3.8579410429,4.0078340358,3.807442334,4.0078340358,2456600,0.0,1.0
WDC,2000-02-11 00:00:00+00:00,4.938,4.938,4.25,4.813,2678600,3.9581368938,3.9581368938,3.4066589304,3.8579410429,2678600,0.0,1.0
WDC,2000-02-14 00:00:00+00:00,4.688,4.75,4.625,4.688,1473100,3.757745192,3.807442334,3.7072464831,3.757745192,1473100,0.0,1.0
WDC,2000-02-15 00:00:00+00:00,4.5,4.688,4.5,4.625,1696700,3.6070506322,3.757745192,3.6070506322,3.7072464831,1696700,0.0,1.0
WDC,2000-02-16 00:00:00+00:00,4.5,4.625,4.5,4.625,1352600,3.6070506322,3.7072464831,3.6070506322,3.7072464831,1352600,0.0,1.0
WDC,2000-02-17 00:00:00+00:00,4.5,4.688,4.5,4.563,1742400,3.6070506322,3.757745192,3.6070506322,3.6575493411,1742400,0.0,1.0
WDC,2000-02-18 00:00:00+00:00,4.313,4.563,4.313,4.563,1762300,3.4571576393,3.6575493411,3.4571576393,3.6575493411,1762300,0.0,1.0
WDC,2000-02-22 00:00:00+00:00,4.25,4.5,4.25,4.313,1633300,3.4066589304,3.6070506322,3.4066589304,3.4571576393,1633300,0.0,1.0
WDC,2000-02-23 00:00:00+00:00,4.313,4.313,4.125,4.313,1791000,3.4571576393,3.4571576393,3.3064630796,3.4571576393,1791000,0.0,1.0
WDC,2000-02-24 00:00:00+00:00,4.25,4.375,4.188,4.188,1769100,3.4066589304,3.5068547813,3.3569617884,3.3569617884,1769100,0.0,1.0
WDC,2000-02-25 00:00:00+00:00,3.938,4.25,3.938,4.125,2750700,3.1565700866,3.4066589304,3.1565700866,3.3064630796,2750700,0.0,1.0
WDC,2000-02-28 00:00:00+00:00,3.938,4.125,3.938,4.0,1907300,3.1565700866,3.3064630796,3.1565700866,3.2062672287,1907300,0.0,1.0
WDC,2000-02-29 00:00:00+00:00,4.5,4.75,4.063,4.063,3057800,3.6070506322,3.807442334,3.2567659375,3.2567659375,3057800,0.0,1.0
WDC,2000-03-01 00:00:00+00:00,4.688,4.688,4.313,4.5,2455600,3.757745192,3.757745192,3.4571576393,3.6070506322,2455600,0.0,1.0
WDC,2000-03-02 00:00:00+00:00,4.75,4.75,4.5,4.563,2013300,3.807442334,3.807442334,3.6070506322,3.6575493411,2013300,0.0,1.0
WDC,2000-03-03 00:00:00+00:00,4.5,4.875,4.375,4.875,1960600,3.6070506322,3.9076381849,3.5068547813,3.9076381849,1960600,0.0,1.0
WDC,2000-03-06 00:00:00+00:00,4.813,5.125,4.5,4.625,4475000,3.8579410429,4.1080298867,3.6070506322,3.7072464831,4475000,0.0,1.0
WDC,2000-03-07 00:00:00+00:00,4.563,4.875,4.438,4.75,2089500,3.6575493411,3.9076381849,3.5573534902,3.807442334,2089500,0.0,1.0
WDC,2000-03-08 00:00:00+00:00,4.563,4.688,4.438,4.563,1306300,3.6575493411,3.757745192,3.5573534902,3.6575493411,1306300,0.0,1.0
WDC,2000-03-09 00:00:00+00:00,6.0,6.0,4.5,4.563,8568400,4.809400843,4.809400843,3.6070506322,3.6575493411,8568400,0.0,1.0
WDC,2000-03-10 00:00:00+00:00,5.188,5.75,5.188,5.625,4687500,4.1585285956,4.6090091412,4.1585285956,4.5088132903,4687500,0.0,1.0
WDC,2000-03-13 00:00:00+00:00,7.25,7.25,5.375,5.5,18814600,5.8113593519,5.8113593519,4.3084215885,4.4086174394,18814600,0.0,1.0
WDC,2000-03-14 00:00:00+00:00,6.5,7.75,6.5,7.25,10510000,5.2101842466,6.2121427555,5.2101842466,5.8113593519,10510000,0.0,1.0
WDC,2000-03-15 00:00:00+00:00,6.5,6.938,6.375,6.938,4792900,5.2101842466,5.5612705081,5.1099883957,5.5612705081,4792900,0.0,1.0
WDC,2000-03-16 00:00:00+00:00,7.625,7.688,7.0,7.438,8804600,6.1119469046,6.1624456135,5.6109676501,5.9620539117,8804600,0.0,1.0
WDC,2000-03-17 00:00:00+00:00,7.5,7.938,6.0,7.5,3706000,6.0117510537,6.3628373153,4.809400843,6.0117510537,3706000,0.0,1.0
WDC,2000-03-20 00:00:00+00:00,6.938,7.563,6.75,7.5,2666400,5.5612705081,6.0622497626,5.4105759484,6.0117510537,2666400,0.0,1.0
WDC,2000-03-21 00:00:00+00:00,7.125,7.125,6.563,6.813,2091000,5.711163501,5.711163501,5.2606829554,5.4610746572,2091000,0.0,1.0
WDC,2000-03-22 00:00:00+00:00,8.0,8.5,7.125,7.25,6757900,6.4125344573,6.8133178609,5.711163501,5.8113593519,6757900,0.0,1.0
WDC,2000-03-23 00:00:00+00:00,8.75,8.813,8.0,8.0,6106000,7.0137095627,7.0642082715,6.4125344573,6.4125344573,6106000,0.0,1.0
WDC,2000-03-24 00:00:00+00:00,8.62,8.81,8.25,8.25,3399800,6.9095058778,7.0618035711,6.6129261591,6.6129261591,3399800,0.0,1.0
WDC,2000-03-27 00:00:00+00:00,8.25,8.688,8.125,8.625,1644400,6.6129261591,6.9640124206,6.5127303082,6.9135137118,1644400,0.0,1.0
WDC,2000-03-28 00:00:00+00:00,7.688,8.188,7.563,8.125,2174100,6.1624456135,6.5632290171,6.0622497626,6.5127303082,2174100,0.0,1.0
WDC,2000-03-29 00:00:00+00:00,7.75,7.75,7.0,7.688,2756300,6.2121427555,6.2121427555,5.6109676501,6.1624456135,2756300,0.0,1.0
WDC,2000-03-30 00:00:00+00:00,6.875,7.625,6.625,7.438,3406700,5.5107717993,6.1119469046,5.3103800975,5.9620539117,3406700,0.0,1.0
WDC,2000-03-31 00:00:00+00:00,7.438,7.5,6.5,7.063,4411600,5.9620539117,6.0117510537,5.2101842466,5.661466359,4411600,0.0,1.0
WDC,2000-04-03 00:00:00+00:00,7.125,7.5,6.938,7.438,1868800,5.711163501,6.0117510537,5.5612705081,5.9620539117,1868800,0.0,1.0
