symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
WELL,2001-01-02 00:00:00+00:00,16.06,16.38,16.06,16.25,124000,4.5160107015,4.6059934801,4.5160107015,4.5694379763,124000,0.0,1.0
WELL,2001-01-03 00:00:00+00:00,16.69,16.69,16.13,16.13,127700,4.6931642969,4.6931642969,4.5356944343,4.5356944343,127700,0.0,1.0
WELL,2001-01-04 00:00:00+00:00,16.69,16.81,16.56,16.81,132000,4.6931642969,4.7269078389,4.6566087931,4.7269078389,132000,0.0,1.0
WELL,2001-01-05 00:00:00+00:00,16.25,16.69,16.25,16.69,113500,4.5694379763,4.6931642969,4.5694379763,4.6931642969,113500,0.0,1.0
WELL,2001-01-08 00:00:00+00:00,16.81,16.88,16.25,16.25,161300,4.7269078389,4.7465915717,4.5694379763,4.5694379763,161300,0.0,1.0
WELL,2001-01-09 00:00:00+00:00,17.44,17.63,16.88,16.94,122200,4.9040614343,4.9574887091,4.7465915717,4.7634633427,122200,0.0,1.0
WELL,2001-01-10 00:00:00+00:00,17.88,17.88,17.25,17.25,137900,5.0277877548,5.0277877548,4.8506341595,4.8506341595,137900,0.0,1.0
WELL,2001-01-11 00:00:00+00:00,17.63,17.81,17.5,17.75,152400,4.9574887091,5.008104022,4.9209332052,4.991232251,152400,0.0,1.0
WELL,2001-01-12 00:00:00+00:00,17.56,17.69,17.5,17.69,48400,4.9378049762,4.97436048,4.9209332052,4.97436048,48400,0.0,1.0
WELL,2001-01-16 00:00:00+00:00,17.69,17.88,17.5,17.63,112700,4.97436048,5.0277877548,4.9209332052,4.9574887091,112700,0.0,1.0
WELL,2001-01-17 00:00:00+00:00,17.56,17.75,17.5,17.75,98900,4.9378049762,4.991232251,4.9209332052,4.991232251,98900,0.0,1.0
WELL,2001-01-18 00:00:00+00:00,17.69,17.69,17.38,17.5,87900,4.97436048,4.97436048,4.8871896633,4.9209332052,87900,0.0,1.0
WELL,2001-01-19 00:00:00+00:00,18.0,18.19,17.69,17.69,93900,5.0615312968,5.1149585716,4.97436048,4.97436048,93900,0.0,1.0
WELL,2001-01-22 00:00:00+00:00,18.69,18.81,18.13,18.13,124700,5.2555566632,5.2893002052,5.0980868006,5.0980868006,124700,0.0,1.0
WELL,2001-01-23 00:00:00+00:00,19.0,19.06,18.56,18.56,105100,5.34272748,5.359599251,5.2190011594,5.2190011594,105100,0.0,1.0
WELL,2001-01-24 00:00:00+00:00,19.25,19.44,19.13,19.13,138600,5.4130265258,5.4664538006,5.3792829838,5.3792829838,138600,0.0,1.0
WELL,2001-01-25 00:00:00+00:00,19.06,19.38,19.06,19.19,111000,5.359599251,5.4495820296,5.359599251,5.3961547548,111000,0.0,1.0
WELL,2001-01-26 00:00:00+00:00,19.31,19.44,18.75,19.0,133800,5.4298982968,5.4664538006,5.2724284342,5.34272748,133800,0.0,1.0
WELL,2001-01-29 00:00:00+00:00,19.06,19.06,18.58,18.65,141500,5.5240990181,5.5240990181,5.3849821488,5.4052700256,141500,0.585,1.0
WELL,2001-01-30 00:00:00+00:00,19.0,19.16,18.87,19.06,121000,5.5067094095,5.5530816992,5.469031924,5.5240990181,121000,0.0,1.0
WELL,2001-01-31 00:00:00+00:00,18.5,19.0,18.5,19.0,94200,5.3617960039,5.5067094095,5.3617960039,5.5067094095,94200,0.0,1.0
WELL,2001-02-01 00:00:00+00:00,18.74,18.78,18.5,18.6,86800,5.4313544386,5.442947511,5.3617960039,5.390778685,86800,0.0,1.0
WELL,2001-02-02 00:00:00+00:00,18.38,18.75,18.38,18.75,65700,5.3270167866,5.4342527067,5.3270167866,5.4342527067,65700,0.0,1.0
WELL,2001-02-05 00:00:00+00:00,18.28,18.55,18.2,18.31,78200,5.2980341055,5.3762873445,5.2748479606,5.3067289098,78200,0.0,1.0
WELL,2001-02-06 00:00:00+00:00,18.82,18.82,18.3,18.35,124900,5.4545405835,5.4545405835,5.3038306417,5.3183219823,124900,0.0,1.0
WELL,2001-02-07 00:00:00+00:00,18.85,18.99,18.75,18.85,68200,5.4632353878,5.5038111413,5.4342527067,5.4632353878,68200,0.0,1.0
WELL,2001-02-08 00:00:00+00:00,18.84,18.85,18.71,18.85,61000,5.4603371197,5.4632353878,5.4226596343,5.4632353878,61000,0.0,1.0
WELL,2001-02-09 00:00:00+00:00,18.65,18.9,18.62,18.8,78500,5.4052700256,5.4777267283,5.3965752213,5.4487440472,78500,0.0,1.0
WELL,2001-02-12 00:00:00+00:00,18.7,18.91,18.64,18.66,76700,5.4197613661,5.4806249965,5.4023717575,5.4081682937,76700,0.0,1.0
WELL,2001-02-13 00:00:00+00:00,18.9,18.98,18.65,18.65,58600,5.4777267283,5.5009128732,5.4052700256,5.4052700256,58600,0.0,1.0
WELL,2001-02-14 00:00:00+00:00,18.99,19.0,18.87,18.98,75600,5.5038111413,5.5067094095,5.469031924,5.5009128732,75600,0.0,1.0
WELL,2001-02-15 00:00:00+00:00,19.02,19.15,18.98,18.99,40500,5.5125059457,5.5501834311,5.5009128732,5.5038111413,40500,0.0,1.0
WELL,2001-02-16 00:00:00+00:00,18.88,19.05,18.88,19.0,64500,5.4719301921,5.52120075,5.4719301921,5.5067094095,64500,0.0,1.0
WELL,2001-02-20 00:00:00+00:00,19.1,19.1,18.95,19.08,61200,5.5356920906,5.5356920906,5.4922180689,5.5298955543,61200,0.0,1.0
WELL,2001-02-21 00:00:00+00:00,18.97,19.2,18.95,19.2,60500,5.4980146051,5.5646747717,5.4922180689,5.5646747717,60500,0.0,1.0
WELL,2001-02-22 00:00:00+00:00,19.0,19.11,18.95,18.98,35400,5.5067094095,5.5385903587,5.4922180689,5.5009128732,35400,0.0,1.0
WELL,2001-02-23 00:00:00+00:00,18.95,19.2,18.95,19.05,89600,5.4922180689,5.5646747717,5.4922180689,5.52120075,89600,0.0,1.0
