symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
WHR,2000-01-03 00:00:00+00:00,61.81,64.44,61.69,64.31,294400,33.8527643829,35.2931910182,33.7870414946,35.2219912225,294400,0.0,1.0
WHR,2000-01-04 00:00:00+00:00,59.44,62.19,58.94,61.56,472600,32.5547373389,34.0608868625,32.280891971,33.7158416989,472600,0.0,1.0
WHR,2000-01-05 00:00:00+00:00,59.94,60.5,59.31,59.44,419500,32.8285827069,33.1352895189,32.4835375433,32.5547373389,419500,0.0,1.0
WHR,2000-01-06 00:00:00+00:00,60.81,61.63,59.69,60.19,266600,33.305073647,33.7541800504,32.6916600229,32.9655053908,266600,0.0,1.0
WHR,2000-01-07 00:00:00+00:00,61.0,61.56,60.38,60.94,298400,33.4091348869,33.7158416989,33.0695666306,33.3762734427,298400,0.0,1.0
WHR,2000-01-10 00:00:00+00:00,61.75,62.69,61.13,61.25,212700,33.8199029387,34.3347322304,33.4803346825,33.5460575708,212700,0.0,1.0
WHR,2000-01-11 00:00:00+00:00,64.0,64.56,62.0,62.0,309500,35.0522070944,35.3589139065,33.9568256227,33.9568256227,309500,0.0,1.0
WHR,2000-01-12 00:00:00+00:00,61.75,63.81,61.75,63.75,357100,33.8199029387,34.9481458546,33.8199029387,34.9152844104,357100,0.0,1.0
WHR,2000-01-13 00:00:00+00:00,61.44,62.25,61.25,62.0,174500,33.6501188106,34.0937483067,33.5460575708,33.9568256227,174500,0.0,1.0
WHR,2000-01-14 00:00:00+00:00,61.19,62.19,61.13,61.5,239500,33.5131961267,34.0608868625,33.4803346825,33.6829802548,239500,0.0,1.0
WHR,2000-01-18 00:00:00+00:00,59.31,60.31,59.25,60.0,233500,32.4835375433,33.0312282791,32.4506760991,32.861444151,233500,0.0,1.0
WHR,2000-01-19 00:00:00+00:00,59.63,63.19,59.63,61.5,548000,32.6587985787,34.6085775984,32.6587985787,33.6829802548,548000,0.0,1.0
WHR,2000-01-20 00:00:00+00:00,59.5,60.56,59.13,59.88,471900,32.5875987831,33.1681509631,32.3849532108,32.7957212627,471900,0.0,1.0
WHR,2000-01-21 00:00:00+00:00,57.5,58.0,52.25,56.0,2453200,31.4922173114,31.7660626793,28.6168409482,30.6706812076,2453200,0.0,1.0
WHR,2000-01-24 00:00:00+00:00,57.94,59.94,57.38,57.75,894400,31.7332012352,32.8285827069,31.4264944231,31.6291399953,894400,0.0,1.0
WHR,2000-01-25 00:00:00+00:00,53.63,58.38,51.75,57.94,1122600,29.3726541636,31.9741851589,28.3429955802,31.7332012352,1122600,0.0,1.0
WHR,2000-01-26 00:00:00+00:00,59.88,59.94,55.0,55.06,920900,32.7957212627,32.8285827069,30.1229904718,30.1558519159,920900,0.0,1.0
WHR,2000-01-27 00:00:00+00:00,56.69,60.25,56.44,59.63,895100,31.0485878153,32.998366835,30.9116651314,32.6587985787,895100,0.0,1.0
WHR,2000-01-28 00:00:00+00:00,56.75,58.56,55.38,55.38,375500,31.0814492595,32.0727694914,30.3311129514,30.3311129514,375500,0.0,1.0
WHR,2000-01-31 00:00:00+00:00,58.25,58.75,56.25,56.5,391500,31.9029853633,32.1768307312,30.8076038916,30.9445265755,391500,0.0,1.0
WHR,2000-02-01 00:00:00+00:00,59.69,60.44,58.25,58.25,531500,32.6916600229,33.1024280748,31.9029853633,31.9029853633,531500,0.0,1.0
WHR,2000-02-02 00:00:00+00:00,57.63,59.5,57.56,59.44,468300,31.563417107,32.5875987831,31.5250787555,32.5547373389,468300,0.0,1.0
WHR,2000-02-03 00:00:00+00:00,57.56,58.25,57.06,57.56,355000,31.5250787555,31.9029853633,31.2512333876,31.5250787555,355000,0.0,1.0
WHR,2000-02-04 00:00:00+00:00,56.38,57.81,56.31,57.81,300100,30.8788036872,31.6620014395,30.8404653357,31.6620014395,300100,0.0,1.0
WHR,2000-02-07 00:00:00+00:00,55.56,57.25,55.0,56.38,495300,30.4296972838,31.3552946274,30.1229904718,30.8788036872,495300,0.0,1.0
WHR,2000-02-08 00:00:00+00:00,54.38,56.19,54.38,55.81,372300,29.7834222155,30.7747424474,29.7834222155,30.5666199678,372300,0.0,1.0
WHR,2000-02-09 00:00:00+00:00,54.94,55.38,54.69,55.06,355200,30.0901290276,30.3311129514,29.9532063436,30.1558519159,355200,0.0,1.0
WHR,2000-02-10 00:00:00+00:00,54.38,55.44,54.13,55.0,288900,29.7834222155,30.3639743955,29.6464995316,30.1229904718,288900,0.0,1.0
WHR,2000-02-11 00:00:00+00:00,52.75,55.38,52.63,54.94,253400,28.8906863161,30.3311129514,28.8249634278,30.0901290276,253400,0.0,1.0
WHR,2000-02-14 00:00:00+00:00,52.94,53.88,50.5,51.75,741400,28.9947475559,29.5095768476,27.6583821604,28.3429955802,741400,0.0,1.0
WHR,2000-02-15 00:00:00+00:00,52.69,54.06,51.94,53.06,711000,28.8578248719,29.6081611801,28.4470568201,29.0604704442,711000,0.0,1.0
WHR,2000-02-16 00:00:00+00:00,53.75,54.13,53.0,53.06,493300,29.4383770519,29.6464995316,29.0276090001,29.0604704442,493300,0.0,1.0
WHR,2000-02-17 00:00:00+00:00,57.0,58.44,54.0,54.0,575000,31.2183719435,32.0070466031,29.5752997359,29.5752997359,575000,0.0,1.0
WHR,2000-02-18 00:00:00+00:00,54.5,56.69,54.44,56.38,487000,29.8491451038,31.0485878153,29.8162836597,30.8788036872,487000,0.0,1.0
WHR,2000-02-22 00:00:00+00:00,54.56,55.25,54.25,54.5,473400,29.882006548,30.2599131557,29.7122224199,29.8491451038,473400,0.0,1.0
WHR,2000-02-23 00:00:00+00:00,54.19,54.94,54.13,54.56,467700,29.6793609757,30.0901290276,29.6464995316,29.882006548,467700,0.0,1.0
WHR,2000-02-24 00:00:00+00:00,54.25,54.69,52.56,54.19,673400,29.7122224199,29.9532063436,28.7866250763,29.6793609757,673400,0.0,1.0
WHR,2000-02-25 00:00:00+00:00,53.38,54.44,53.31,53.88,699900,29.4219463299,30.0061962945,29.383363785,29.6975359358,699900,0.34,1.0
WHR,2000-02-28 00:00:00+00:00,53.63,54.0,52.88,53.88,291900,29.5597411328,29.7636774412,29.1463567239,29.6975359358,291900,0.0,1.0
WHR,2000-02-29 00:00:00+00:00,54.31,55.0,53.13,53.13,486000,29.9345429969,30.3148566531,29.2841515269,29.2841515269,486000,0.0,1.0
WHR,2000-03-01 00:00:00+00:00,53.44,54.44,51.75,54.31,317000,29.4550170826,30.0061962945,28.5235242145,29.9345429969,317000,0.0,1.0
WHR,2000-03-02 00:00:00+00:00,51.5,53.38,51.13,53.19,353200,28.3857294115,29.4219463299,28.1817931032,29.3172222796,353200,0.0,1.0
WHR,2000-03-03 00:00:00+00:00,52.19,53.25,51.31,51.56,543900,28.7660430677,29.3502930323,28.2810053613,28.4188001643,543900,0.0,1.0
WHR,2000-03-06 00:00:00+00:00,52.31,52.81,52.13,52.13,321400,28.8321845732,29.1077741791,28.732972315,28.732972315,321400,0.0,1.0
WHR,2000-03-07 00:00:00+00:00,50.44,53.63,50.25,52.06,329400,27.801479447,29.5597411328,27.6967553967,28.6943897702,329400,0.0,1.0
WHR,2000-03-08 00:00:00+00:00,49.63,51.0,48.63,50.75,392600,27.3550242853,28.1101398056,26.8038450735,27.9723450026,392600,0.0,1.0
WHR,2000-03-09 00:00:00+00:00,51.69,52.19,49.19,49.63,583700,28.4904534618,28.7660430677,27.1125054321,27.3550242853,583700,0.0,1.0
WHR,2000-03-10 00:00:00+00:00,50.06,52.44,49.5,51.94,276400,27.5920313464,28.9038378707,27.2833709878,28.6282482648,276400,0.0,1.0
WHR,2000-03-13 00:00:00+00:00,49.56,50.63,49.0,49.5,388000,27.3164417405,27.9062034972,27.0077813819,27.2833709878,388000,0.0,1.0
WHR,2000-03-14 00:00:00+00:00,48.88,50.44,48.88,49.81,409500,26.9416398764,27.801479447,26.9416398764,27.4542365435,409500,0.0,1.0
WHR,2000-03-15 00:00:00+00:00,54.06,56.38,49.13,49.13,650600,29.7967481939,31.0754839655,27.0794346794,27.0794346794,650600,0.0,1.0
WHR,2000-03-16 00:00:00+00:00,58.44,58.63,55.44,56.0,844400,32.210913142,32.3156371922,30.5573755063,30.866035865,844400,0.0,1.0
WHR,2000-03-17 00:00:00+00:00,57.06,59.75,57.0,58.38,581700,31.4502858296,32.9329579095,31.4172150769,32.1778423892,581700,0.0,1.0
WHR,2000-03-20 00:00:00+00:00,56.88,57.69,55.13,57.19,486600,31.3510735714,31.7975287331,30.3865099507,31.5219391271,486600,0.0,1.0
WHR,2000-03-21 00:00:00+00:00,60.38,61.94,56.75,56.88,611700,33.280200813,34.1400403835,31.2794202739,31.3510735714,611700,0.0,1.0
WHR,2000-03-22 00:00:00+00:00,57.63,59.63,56.38,59.38,451700,31.7644579803,32.8668164041,31.0754839655,32.7290216011,451700,0.0,1.0
WHR,2000-03-23 00:00:00+00:00,58.0,59.13,57.0,57.88,237600,31.9683942887,32.5912267981,31.4172150769,31.9022527833,237600,0.0,1.0
WHR,2000-03-24 00:00:00+00:00,56.81,59.25,56.75,58.0,301200,31.3124910266,32.6573683036,31.2794202739,31.9683942887,301200,0.0,1.0
WHR,2000-03-27 00:00:00+00:00,56.5,58.19,56.5,56.88,311300,31.1416254709,32.073118339,31.1416254709,31.3510735714,311300,0.0,1.0
WHR,2000-03-28 00:00:00+00:00,56.19,57.88,55.75,55.88,240600,30.9707599152,31.9022527833,30.728241062,30.7998943596,240600,0.0,1.0
WHR,2000-03-29 00:00:00+00:00,58.94,59.69,55.75,55.94,320500,32.4865027479,32.8998871568,30.728241062,30.8329651123,320500,0.0,1.0
WHR,2000-03-30 00:00:00+00:00,59.69,62.0,59.0,59.06,359800,32.8998871568,34.1731111362,32.5195735006,32.5526442533,359800,0.0,1.0
WHR,2000-03-31 00:00:00+00:00,58.63,60.56,58.63,59.94,325300,32.3156371922,33.3794130711,32.3156371922,33.0376819598,325300,0.0,1.0
WHR,2000-04-03 00:00:00+00:00,59.38,61.31,58.75,58.81,480700,32.7290216011,33.79279748,32.3817786976,32.4148494503,480700,0.0,1.0
WHR,2000-04-04 00:00:00+00:00,62.06,64.0,59.94,60.44,563600,34.2061818889,35.27546956,33.0376819598,33.3132715657,563600,0.0,1.0
WHR,2000-04-05 00:00:00+00:00,60.63,63.13,60.5,61.5,315800,33.417995616,34.7959436456,33.3463423184,33.8975215303,315800,0.0,1.0
WHR,2000-04-06 00:00:00+00:00,60.75,61.94,60.13,60.38,361400,33.4841371214,34.1400403835,33.14240601,33.280200813,361400,0.0,1.0
WHR,2000-04-07 00:00:00+00:00,60.19,60.81,59.19,60.63,202900,33.1754767627,33.5172078741,32.6242975509,33.417995616,202900,0.0,1.0
WHR,2000-04-10 00:00:00+00:00,61.5,62.0,60.0,60.13,229200,33.8975215303,34.1731111362,33.0707527125,33.14240601,229200,0.0,1.0
