symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
WM,2000-01-03 00:00:00+00:00,17.38,17.88,17.31,17.75,3833200,7.4130817099,7.6263464311,7.3832246489,7.5708976036,3833200,0.0,1.0
WM,2000-01-04 00:00:00+00:00,17.31,18.0,17.13,17.31,4736900,7.3832246489,7.6775299642,7.3064493493,7.3832246489,4736900,0.0,1.0
WM,2000-01-05 00:00:00+00:00,17.31,17.63,17.19,17.25,2676000,7.3832246489,7.5197140705,7.3320411158,7.3576328824,2676000,0.0,1.0
WM,2000-01-06 00:00:00+00:00,17.25,17.38,16.69,17.38,2428500,7.3576328824,7.4130817099,7.1187763946,7.4130817099,2428500,0.0,1.0
WM,2000-01-07 00:00:00+00:00,16.56,17.25,16.5,17.19,2461900,7.0633275671,7.3576328824,7.0377358005,7.3320411158,2461900,0.0,1.0
WM,2000-01-10 00:00:00+00:00,16.63,16.88,16.38,16.88,2145600,7.0931846281,7.1998169887,6.9865522674,7.1998169887,2145600,0.0,1.0
WM,2000-01-11 00:00:00+00:00,16.44,16.62,16.12,16.56,1388000,7.012144034,7.0889193336,6.8756546124,7.0633275671,1388000,0.0,1.0
WM,2000-01-12 00:00:00+00:00,16.81,16.88,16.38,16.38,1638400,7.1699599277,7.1998169887,6.9865522674,6.9865522674,1638400,0.0,1.0
WM,2000-01-13 00:00:00+00:00,16.94,17.38,16.75,16.81,2438200,7.2254087552,7.4130817099,7.1443681612,7.1699599277,2438200,0.0,1.0
WM,2000-01-14 00:00:00+00:00,16.75,16.94,16.63,16.94,1205700,7.1443681612,7.2254087552,7.0931846281,7.2254087552,1205700,0.0,1.0
WM,2000-01-18 00:00:00+00:00,16.75,17.06,16.69,16.88,1922400,7.1443681612,7.2765922883,7.1187763946,7.1998169887,1922400,0.0,1.0
WM,2000-01-19 00:00:00+00:00,17.13,17.25,16.81,16.94,1665300,7.3064493493,7.3576328824,7.1699599277,7.2254087552,1665300,0.0,1.0
