symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
WRB,2000-01-03 00:00:00+00:00,20.31,21.5,19.81,21.5,49067,1.275553583,1.3502905974,1.2441514761,1.3502905974,558903,0.0,1.0
WRB,2000-01-04 00:00:00+00:00,19.69,21.13,19.5,21.13,132642,1.2366149704,1.3270530383,1.2246821698,1.3270530383,1510875,0.0,1.0
WRB,2000-01-05 00:00:00+00:00,19.37,19.5,18.81,19.5,49857,1.216517622,1.2246821698,1.1813472622,1.2246821698,567902,0.0,1.0
WRB,2000-01-06 00:00:00+00:00,20.5,20.5,19.37,19.75,53630,1.2874863836,1.2874863836,1.216517622,1.2403832232,610879,0.0,1.0
WRB,2000-01-07 00:00:00+00:00,20.19,20.31,19.75,19.75,165768,1.2680170773,1.275553583,1.2403832232,1.2403832232,1888201,0.0,1.0
WRB,2000-01-10 00:00:00+00:00,20.0,20.37,19.88,20.0,34153,1.2560842767,1.2793218358,1.248547771,1.2560842767,389024,0.0,1.0
WRB,2000-01-11 00:00:00+00:00,19.69,20.5,19.62,19.94,38242,1.2366149704,1.2874863836,1.2322186754,1.2523160239,435600,0.0,1.0
WRB,2000-01-12 00:00:00+00:00,19.62,20.13,18.94,20.13,37867,1.2322186754,1.2642488245,1.18951181,1.2642488245,431328,0.0,1.0
WRB,2000-01-13 00:00:00+00:00,19.5,19.75,19.0,19.19,65778,1.2246821698,1.2403832232,1.1932800628,1.2052128635,749252,0.0,1.0
WRB,2000-01-14 00:00:00+00:00,19.13,19.88,19.13,19.37,50568,1.2014446106,1.248547771,1.2014446106,1.216517622,576001,0.0,1.0
WRB,2000-01-18 00:00:00+00:00,19.44,19.72,19.13,19.13,42844,1.2209139169,1.2384990968,1.2014446106,1.2014446106,488019,0.0,1.0
WRB,2000-01-19 00:00:00+00:00,19.62,20.13,19.31,19.75,51990,1.2322186754,1.2642488245,1.2127493691,1.2403832232,592198,0.0,1.0
WRB,2000-01-20 00:00:00+00:00,18.56,19.62,18.25,19.62,74667,1.1656462088,1.2322186754,1.1461769025,1.2322186754,850503,0.0,1.0
WRB,2000-01-21 00:00:00+00:00,18.13,19.0,18.0,18.88,93175,1.1386403968,1.1932800628,1.130475849,1.1857435572,1061321,0.0,1.0
WRB,2000-01-24 00:00:00+00:00,18.5,18.62,17.87,18.38,35990,1.1618779559,1.1694144616,1.1223113012,1.1543414503,409948,0.0,1.0
WRB,2000-01-25 00:00:00+00:00,17.0,18.5,17.0,18.5,114785,1.0676716352,1.1618779559,1.0676716352,1.1618779559,1307472,0.0,1.0
WRB,2000-01-26 00:00:00+00:00,17.94,18.62,17.19,17.19,47467,1.1267075962,1.1694144616,1.0796044358,1.0796044358,540678,0.0,1.0
WRB,2000-01-27 00:00:00+00:00,18.25,18.62,17.87,17.87,96553,1.1461769025,1.1694144616,1.1223113012,1.1223113012,1099799,0.0,1.0
WRB,2000-01-28 00:00:00+00:00,17.56,18.5,17.25,18.38,114252,1.1028419949,1.1618779559,1.0833726886,1.1543414503,1301401,0.0,1.0
WRB,2000-01-31 00:00:00+00:00,17.38,17.44,16.5,17.25,149353,1.0915372364,1.0953054893,1.0362695283,1.0833726886,1701224,0.0,1.0
WRB,2000-02-01 00:00:00+00:00,17.25,17.25,16.62,16.75,92444,1.0833726886,1.0833726886,1.0438060339,1.0519705817,1052994,0.0,1.0
WRB,2000-02-02 00:00:00+00:00,17.25,17.5,17.0,17.13,53867,1.0833726886,1.0990737421,1.0676716352,1.075836183,613578,0.0,1.0
WRB,2000-02-03 00:00:00+00:00,17.19,17.94,17.06,17.5,81620,1.0796044358,1.1267075962,1.071439888,1.0990737421,929702,0.0,1.0
WRB,2000-02-04 00:00:00+00:00,17.0,17.38,16.75,17.38,39644,1.0676716352,1.0915372364,1.0519705817,1.0915372364,451569,0.0,1.0
WRB,2000-02-07 00:00:00+00:00,16.75,17.5,16.5,17.5,100267,1.0519705817,1.0990737421,1.0362695283,1.0990737421,1142103,0.0,1.0
WRB,2000-02-08 00:00:00+00:00,16.56,16.69,16.13,16.5,45867,1.0400377811,1.0482023289,1.0130319691,1.0362695283,522453,0.0,1.0
WRB,2000-02-09 00:00:00+00:00,15.81,16.5,15.81,16.5,94835,0.9929346207,1.0362695283,0.9929346207,1.0362695283,1080229,0.0,1.0
WRB,2000-02-10 00:00:00+00:00,15.5,15.94,15.25,15.75,64652,0.9734653144,1.0010991685,0.957764261,0.9891663679,736426,0.0,1.0
WRB,2000-02-11 00:00:00+00:00,15.31,16.13,15.12,15.12,87052,0.9615325138,1.0130319691,0.9495997132,0.9495997132,991576,0.0,1.0
WRB,2000-02-14 00:00:00+00:00,15.25,16.06,15.12,16.0,209244,0.957764261,1.0086356742,0.9495997132,1.0048674213,2383419,0.0,1.0
WRB,2000-02-15 00:00:00+00:00,15.0,15.63,15.0,15.63,274844,0.9420632075,0.9816298622,0.9420632075,0.9816298622,3130644,0.0,1.0
WRB,2000-02-16 00:00:00+00:00,15.0,15.38,15.0,15.38,72435,0.9420632075,0.9659288088,0.9420632075,0.9659288088,825079,0.0,1.0
WRB,2000-02-17 00:00:00+00:00,15.25,15.38,14.81,15.38,506390,0.957764261,0.9659288088,0.9301304069,0.9659288088,5768098,0.0,1.0
WRB,2000-02-18 00:00:00+00:00,15.31,15.5,15.0,15.19,56435,0.9615325138,0.9734653144,0.9420632075,0.9539960081,642829,0.0,1.0
WRB,2000-02-22 00:00:00+00:00,16.06,16.75,15.06,15.25,109867,1.0086356742,1.0519705817,0.9458314603,0.957764261,1251453,0.0,1.0
WRB,2000-02-23 00:00:00+00:00,15.75,16.44,15.56,16.38,154785,0.9891663679,1.0325012754,0.9772335673,1.0287330226,1763097,0.0,1.0
WRB,2000-02-24 00:00:00+00:00,15.75,15.94,15.63,15.69,45452,0.9891663679,1.0010991685,0.9816298622,0.9853981151,517726,0.0,1.0
WRB,2000-02-25 00:00:00+00:00,16.38,16.75,15.69,15.81,76978,1.0287330226,1.0519705817,0.9853981151,0.9929346207,876827,0.0,1.0
WRB,2000-02-28 00:00:00+00:00,16.06,16.44,15.69,16.44,77452,1.0086356742,1.0325012754,0.9853981151,1.0325012754,882226,0.0,1.0
WRB,2000-02-29 00:00:00+00:00,16.06,16.25,15.69,16.25,71230,1.0086356742,1.0205684748,0.9853981151,1.0205684748,811354,0.0,1.0
WRB,2000-03-01 00:00:00+00:00,15.63,16.06,15.44,16.0,357867,0.9816298622,1.0086356742,0.9696970616,1.0048674213,4076328,0.0,1.0
WRB,2000-03-02 00:00:00+00:00,15.63,16.0,15.5,15.5,43990,0.9816298622,1.0048674213,0.9734653144,0.9734653144,501073,0.0,1.0
WRB,2000-03-03 00:00:00+00:00,15.38,15.69,15.0,15.44,33244,0.9659288088,0.9853981151,0.9420632075,0.9696970616,378669,0.0,1.0
WRB,2000-03-06 00:00:00+00:00,15.38,15.5,15.25,15.5,36820,0.9659288088,0.9734653144,0.957764261,0.9734653144,419402,0.0,1.0
WRB,2000-03-07 00:00:00+00:00,14.97,15.63,14.75,15.0,121363,0.9401790811,0.9816298622,0.9263621541,0.9420632075,1382400,0.0,1.0
WRB,2000-03-08 00:00:00+00:00,14.63,15.0,14.25,14.94,94420,0.9188256484,0.9420632075,0.8949600471,0.9382949547,1075502,0.0,1.0
WRB,2000-03-09 00:00:00+00:00,14.75,15.0,14.25,14.75,123378,0.9263621541,0.9420632075,0.8949600471,0.9263621541,1405352,0.0,1.0
WRB,2000-03-10 00:00:00+00:00,15.0,15.38,14.69,15.25,160435,0.9420632075,0.9659288088,0.9225939012,0.957764261,1827454,0.0,1.0
WRB,2000-03-13 00:00:00+00:00,14.75,15.0,14.0,14.69,187042,0.9263621541,0.9420632075,0.8792589937,0.9225939012,2130525,0.0,1.0
WRB,2000-03-14 00:00:00+00:00,14.87,15.25,14.75,15.12,45867,0.9338986597,0.957764261,0.9263621541,0.9495997132,522453,0.0,1.0
WRB,2000-03-15 00:00:00+00:00,14.94,15.12,14.63,14.69,174420,0.9382949547,0.9495997132,0.9188256484,0.9225939012,1986752,0.0,1.0
WRB,2000-03-16 00:00:00+00:00,16.0,16.25,14.75,14.81,82785,1.0048674213,1.0205684748,0.9263621541,0.9301304069,942972,0.0,1.0
WRB,2000-03-17 00:00:00+00:00,15.75,16.0,15.75,15.75,234844,0.9891663679,1.0048674213,0.9891663679,0.9891663679,2675019,0.0,1.0
WRB,2000-03-20 00:00:00+00:00,15.94,16.0,15.75,15.75,51457,1.0010991685,1.0048674213,0.9891663679,0.9891663679,586127,0.0,1.0
WRB,2000-03-21 00:00:00+00:00,16.38,16.75,15.63,15.75,114430,1.0287330226,1.0519705817,0.9816298622,0.9891663679,1303429,0.0,1.0
