symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
WRK,2015-06-24 00:00:00+00:00,63.380001,63.450001,63.380001,63.450001,3300,49.7282588326,49.783181175,49.7282588326,49.783181175,3300,0.0,1.0
WRK,2015-06-25 00:00:00+00:00,61.900002,62.900002,61.900002,62.900002,3700,48.5670443772,49.3516492691,48.5670443772,49.3516492691,3700,0.0,1.0
WRK,2015-06-26 00:00:00+00:00,61.900002,61.900002,61.900002,61.900002,100,48.5670443772,48.5670443772,48.5670443772,48.5670443772,100,0.0,1.0
WRK,2015-06-29 00:00:00+00:00,60.799999,60.919998,60.799999,60.919998,300,47.7039766423,47.7981284447,47.7039766423,47.7981284447,300,0.0,1.0
WRK,2015-06-30 00:00:00+00:00,60.900002,61.400002,60.330002,61.330002,1815500,47.7824394853,48.1747419312,47.3352146969,48.1198195888,1815500,0.0,1.0
WRK,2015-07-01 00:00:00+00:00,62.400002,62.400002,60.630001,60.740002,192400,48.9593468231,48.9593468231,47.5705953799,47.6569027026,192400,0.0,1.0
WRK,2015-07-02 00:00:00+00:00,64.99,65.0,62.4,63.0,1744987,50.9914719239,50.9993179728,48.9593452539,49.4301081891,1744987,0.0,1.0
WRK,2015-07-06 00:00:00+00:00,63.75,66.4,62.99,65.12,2092257,50.018561858,52.0977648215,49.4222621401,51.0934705599,2092257,0.0,1.0
WRK,2015-07-07 00:00:00+00:00,62.47,63.99,61.54,63.91,3053125,49.0142675964,50.206867032,48.2845850469,50.1440986407,3053125,0.0,1.0
WRK,2015-07-08 00:00:00+00:00,59.71,63.9,59.5,62.5,3784289,46.8487580947,50.1362525918,46.6839910674,49.0378057431,3784289,0.0,1.0
WRK,2015-07-09 00:00:00+00:00,59.51,60.93,58.51,59.5,2284226,46.6918371164,47.8059760629,45.9072322245,46.6839910674,2284226,0.0,1.0
WRK,2015-07-10 00:00:00+00:00,61.4,61.6,59.4,59.97,2237703,48.174740362,48.3316613404,46.6055305783,47.0527553666,2237703,0.0,1.0
WRK,2015-07-13 00:00:00+00:00,62.12,62.25,61.61,62.04,1248987,48.7396558842,48.8416545201,48.3395073893,48.6768874928,1248987,0.0,1.0
WRK,2015-07-14 00:00:00+00:00,62.19,63.05,61.44,62.1,994808,48.7945782266,49.4693384337,48.2061245577,48.7239637864,994808,0.0,1.0
WRK,2015-07-15 00:00:00+00:00,61.62,62.93,61.13,62.25,1209854,48.3473534383,49.3751858466,47.9628970412,48.8416545201,1209854,0.0,1.0
WRK,2015-07-16 00:00:00+00:00,62.32,63.68,61.536,61.7,1365863,48.8965768626,49.9636395155,48.2814466273,48.4101218296,1365863,0.0,1.0
WRK,2015-07-17 00:00:00+00:00,61.75,63.25,61.64,62.62,1213162,48.4493520742,49.626259412,48.3630455361,49.1319583301,1213162,0.0,1.0
WRK,2015-07-20 00:00:00+00:00,61.55,62.93,61.5,62.0,1977775,48.2924310958,49.3751858466,48.2532008512,48.6455032972,1977775,0.0,1.0
WRK,2015-07-21 00:00:00+00:00,59.85,62.86,59.62,61.84,1808280,46.9586027796,49.3202635042,46.7781436545,48.5199665145,1808280,0.0,1.0
WRK,2015-07-22 00:00:00+00:00,60.14,61.14,59.57,60.35,900133,47.1861381983,47.9707430901,46.7389134099,47.3509052256,900133,0.0,1.0
WRK,2015-07-23 00:00:00+00:00,59.85,60.78,59.35,59.77,1124672,46.9586027796,47.6882853291,46.5663003337,46.8958343883,1124672,0.0,1.0
WRK,2015-07-24 00:00:00+00:00,58.91,59.95,57.66,59.55,1154608,46.2210741812,47.0370632688,45.2403180664,46.723221312,1154608,0.0,1.0
WRK,2015-07-27 00:00:00+00:00,58.19,59.42,57.865,58.45,1255150,45.6561586591,46.6212226761,45.4011620692,45.860155931,1255150,0.0,1.0
WRK,2015-07-28 00:00:00+00:00,59.34,59.75,57.49,58.52,1636666,46.5584542847,46.8801422904,45.1069352347,45.9150782734,1636666,0.0,1.0
WRK,2015-07-29 00:00:00+00:00,59.39,59.73,58.08,58.88,1790204,46.5976845293,46.8644501926,45.569852121,46.1975360345,1790204,0.0,1.0
WRK,2015-07-30 00:00:00+00:00,62.83,63.19,61.04,61.36,3530135,49.2967253574,49.5791831185,47.892282601,48.1433561664,3530135,0.0,1.0
WRK,2015-07-31 00:00:00+00:00,63.06,63.75,61.16,61.5,1624924,49.4771844826,50.018561858,47.986435188,48.2532008512,1624924,0.0,1.0
WRK,2015-08-03 00:00:00+00:00,63.17,64.74,62.39,63.37,2128045,49.5634910207,50.795320701,48.951499205,49.7204119991,2128045,0.0,1.0
WRK,2015-08-04 00:00:00+00:00,62.57,63.45,62.24,62.25,702962,49.0927280856,49.7831803904,48.8338084712,48.8416545201,702962,0.0,1.0
WRK,2015-08-05 00:00:00+00:00,62.75,63.96,62.22,63.29,1495186,49.2339569661,50.1833288853,48.8181163734,49.6576436077,1495186,0.0,1.0
WRK,2015-08-06 00:00:00+00:00,61.74,62.5,60.48,62.0,2536887,48.4415060253,49.0378057431,47.4529038615,48.6455032972,2536887,0.0,1.0
WRK,2015-08-07 00:00:00+00:00,62.56,62.61,60.98,61.68,2060919,49.0848820366,49.1241122812,47.8452063074,48.3944297318,2060919,0.0,1.0
WRK,2015-08-10 00:00:00+00:00,62.98,63.5,61.9,62.99,1424070,49.7086429257,50.1190667796,48.8562241521,49.7165356921,1424070,0.375,1.0
WRK,2015-08-11 00:00:00+00:00,63.4,64.0,61.71,64.0,1727206,50.0401391154,50.5137051007,48.7062615901,50.5137051007,1727206,0.0,1.0
WRK,2015-08-12 00:00:00+00:00,63.31,63.87,61.71,63.4,1396295,49.9691042176,50.4110991372,48.7062615901,50.0401391154,1396295,0.0,1.0
WRK,2015-08-13 00:00:00+00:00,63.13,63.7975,62.35,63.26,844266,49.827034422,50.3538765807,49.2113986411,49.9296403855,844266,0.0,1.0
WRK,2015-08-14 00:00:00+00:00,63.23,63.81,61.959,63.13,938717,49.9059620862,50.3637425387,48.902791474,49.827034422,938717,0.0,1.0
WRK,2015-08-17 00:00:00+00:00,63.34,63.41,62.63,62.63,714354,49.9927825169,50.0480318818,49.4323961009,49.4323961009,714354,0.0,1.0
WRK,2015-08-18 00:00:00+00:00,63.16,63.58,62.91,63.02,806543,49.8507127213,50.182208911,49.6533935607,49.7402139914,806543,0.0,1.0
WRK,2015-08-19 00:00:00+00:00,62.07,63.29,62.07,62.98,1078040,48.9904011813,49.9533186848,48.9904011813,49.7086429257,1078040,0.0,1.0
WRK,2015-08-20 00:00:00+00:00,60.68,61.75,60.38,61.75,1297576,47.8933066486,48.7378326558,47.656523656,48.7378326558,1297576,0.0,1.0
WRK,2015-08-21 00:00:00+00:00,59.01,60.265,58.63,60.22,1959044,46.5752146562,47.5657568421,46.2752895321,47.5302393932,1959044,0.0,1.0
WRK,2015-08-24 00:00:00+00:00,56.46,60.29,53.48,56.66,2146015,44.5625592185,47.5854887582,42.2105148248,44.720414547,2146015,0.0,1.0
WRK,2015-08-25 00:00:00+00:00,55.5,58.37,55.01,58.3,2348724,43.804853642,46.0700776051,43.4181080874,46.0148282402,2348724,0.0,1.0
WRK,2015-08-26 00:00:00+00:00,56.45,57.94,55.15,57.13,1860463,44.5546664521,45.730688649,43.5286068173,45.0913745688,1860463,0.0,1.0
WRK,2015-08-27 00:00:00+00:00,59.22,59.25,57.74,57.86,1874589,46.740962751,46.7646410503,45.5728333206,45.6675465176,1874589,0.0,1.0
WRK,2015-08-28 00:00:00+00:00,60.26,60.42,59.22,59.23,1508710,47.5618104589,47.6880947217,46.740962751,46.7488555174,1508710,0.0,1.0
WRK,2015-08-31 00:00:00+00:00,59.35,60.23,58.64,60.1,1681708,46.8435687145,47.5381321596,46.2831822985,47.4355261962,1681708,0.0,1.0
WRK,2015-09-01 00:00:00+00:00,58.43,59.12,57.66,58.89,1851549,46.1174342037,46.6620350868,45.5096911892,46.4805014591,1851549,0.0,1.0
WRK,2015-09-02 00:00:00+00:00,58.17,59.44,57.45,59.34,1237808,45.9122222767,46.9146036123,45.3439430943,46.8356759481,1237808,0.0,1.0
WRK,2015-09-03 00:00:00+00:00,58.72,59.64,58.18,58.35,1106028,46.3463244299,47.0724589407,45.9201150431,46.0542920723,1106028,0.0,1.0
WRK,2015-09-04 00:00:00+00:00,57.35,58.33,57.25,57.26,821081,45.2650154301,46.0385065395,45.1860877659,45.1939805323,821081,0.0,1.0
WRK,2015-09-08 00:00:00+00:00,58.6,58.68,57.69,58.14,625521,46.2516112329,46.3147533642,45.5333694885,45.8885439774,625521,0.0,1.0
WRK,2015-09-09 00:00:00+00:00,58.25,60.06,58.13,59.0,1079371,45.9753644081,47.4039551305,45.880651211,46.5673218897,1079371,0.0,1.0
WRK,2015-09-10 00:00:00+00:00,58.74,59.41,58.03,58.13,1662988,46.3621099628,46.890925313,45.8017235468,45.880651211,1662988,0.0,1.0
WRK,2015-09-11 00:00:00+00:00,58.75,59.78,58.02,58.5,1032846,46.3700027292,47.1829576706,45.7938307804,46.1726835686,1032846,0.0,1.0
WRK,2015-09-14 00:00:00+00:00,59.58,59.62,57.55,58.75,1485322,47.0251023422,47.0566734079,45.4228707585,46.3700027292,1485322,0.0,1.0
WRK,2015-09-15 00:00:00+00:00,59.68,62.99,58.67,62.99,1422948,47.1040300064,49.7165356921,46.3068605978,49.7165356921,1422948,0.0,1.0
WRK,2015-09-16 00:00:00+00:00,58.79,59.23,57.01,59.23,1964997,46.4015737949,46.7488555174,44.9966613718,46.7488555174,1964997,0.0,1.0
WRK,2015-09-17 00:00:00+00:00,57.73,59.18,57.38,58.68,1228568,45.5649405541,46.7093916853,45.2886937294,46.3147533642,1228568,0.0,1.0
WRK,2015-09-18 00:00:00+00:00,55.7,57.33,55.6,56.97,2215412,43.9627089705,45.2492298973,43.8837813063,44.9650903061,2215412,0.0,1.0
WRK,2015-09-21 00:00:00+00:00,55.86,57.68,55.49,57.68,1649264,44.0889932332,45.525476722,43.7969608756,45.525476722,1649264,0.0,1.0
WRK,2015-09-22 00:00:00+00:00,53.94,56.99,53.45,56.99,1991919,42.5735820802,44.9808758389,42.1868365255,44.9808758389,1991919,0.0,1.0
WRK,2015-09-23 00:00:00+00:00,52.79,55.02,52.58,53.83,1841632,41.6659139417,43.4260008538,41.5001658468,42.4867616496,1841632,0.0,1.0
WRK,2015-09-24 00:00:00+00:00,52.31,52.45,50.5,51.01,2477608,41.2870611534,41.3975598833,39.858470431,40.2610015186,2477608,0.0,1.0
WRK,2015-09-25 00:00:00+00:00,51.95,52.78,51.67,52.57,1469232,41.0029215622,41.6580211753,40.7819241024,41.4922730804,1469232,0.0,1.0
WRK,2015-09-28 00:00:00+00:00,49.97,51.92,49.9,51.36,1764772,39.4401538107,40.979243263,39.3849044457,40.5372483433,1764772,0.0,1.0
WRK,2015-09-29 00:00:00+00:00,50.57,51.27,48.8,49.38,1774599,39.913719796,40.4662134455,38.5167001393,38.9744805918,1774599,0.0,1.0
WRK,2015-09-30 00:00:00+00:00,51.44,54.76,50.62,54.76,1582963,40.6003904747,43.2207889268,39.9531836281,43.2207889268,1582963,0.0,1.0
WRK,2015-10-01 00:00:00+00:00,52.0,56.05,51.09,55.22,2199753,41.0423853943,44.2389557952,40.3241436499,43.5838561822,2199753,0.0,1.0
WRK,2015-10-02 00:00:00+00:00,53.01,53.05,49.99,49.99,1927921,41.839554803,41.8711258686,39.4559393435,39.4559393435,1927921,0.0,1.0
WRK,2015-10-05 00:00:00+00:00,54.1,54.38,53.11,53.4,1544706,42.699866343,42.9208638028,41.9184824672,42.1473726934,1544706,0.0,1.0
WRK,2015-10-06 00:00:00+00:00,54.31,55.05,53.97,54.36,2165271,42.8656144378,43.449679153,42.5972603795,42.9050782699,2165271,0.0,1.0
WRK,2015-10-07 00:00:00+00:00,54.06,54.83,51.54,51.54,2463152,42.6682952773,43.2760382918,40.6793181389,40.6793181389,2463152,0.0,1.0
WRK,2015-10-08 00:00:00+00:00,54.19,54.64,53.56,53.92,1810711,42.7709012408,43.1260757297,42.2736569562,42.5577965474,1810711,0.0,1.0
WRK,2015-10-09 00:00:00+00:00,57.57,57.72,55.01,55.01,3475499,45.4386562914,45.5570477877,43.4181080874,43.4181080874,3475499,0.0,1.0
WRK,2015-10-12 00:00:00+00:00,56.33,57.59,55.48,57.53,1297338,44.4599532551,45.4544418242,43.7890681092,45.4070852257,1297338,0.0,1.0
WRK,2015-10-13 00:00:00+00:00,55.54,56.8,55.45,55.66,1768995,43.8364247077,44.8309132769,43.7653898099,43.9311379048,1768995,0.0,1.0
WRK,2015-10-14 00:00:00+00:00,55.76,56.19,55.28,55.58,1020990,44.010065569,44.3494545252,43.6312127808,43.8679957734,1020990,0.0,1.0
WRK,2015-10-15 00:00:00+00:00,56.01,56.13,54.95,55.57,877067,44.2073847296,44.3020979266,43.3707514888,43.860103007,877067,0.0,1.0
WRK,2015-10-16 00:00:00+00:00,55.79,57.85,54.76,57.85,1397040,44.0337438683,45.6596537512,43.2207889268,45.6596537512,1397040,0.0,1.0
WRK,2015-10-19 00:00:00+00:00,54.27,55.729,53.6616,55.19,1440255,42.8340433721,43.9855979931,42.353847463,43.560177883,1440255,0.0,1.0
WRK,2015-10-20 00:00:00+00:00,53.76,54.4399,51.36,53.84,1125935,42.4315122846,42.9681414736,40.5372483433,42.494654416,1125935,0.0,1.0
WRK,2015-10-21 00:00:00+00:00,52.57,54.2,51.75,54.2,1562911,41.4922730804,42.7787940072,40.8450662338,42.7787940072,1562911,0.0,1.0
