symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
WST,2000-01-03 00:00:00+00:00,30.25,30.88,30.25,30.88,7300,10.8670778654,11.0934004788,10.8670778654,11.0934004788,14600,0.0,1.0
WST,2000-01-04 00:00:00+00:00,30.56,30.75,30.38,30.75,138900,10.9784429608,11.0466989871,10.913779357,11.0466989871,277800,0.0,1.0
WST,2000-01-05 00:00:00+00:00,30.44,30.69,30.25,30.62,55600,10.9353338916,11.0251444525,10.8670778654,10.9999974955,111200,0.0,1.0
WST,2000-01-06 00:00:00+00:00,30.12,30.62,30.0,30.5,24400,10.8203763737,10.9999974955,10.7772673045,10.9568884262,48800,0.0,1.0
WST,2000-01-07 00:00:00+00:00,30.44,30.62,30.12,30.12,21600,10.9353338916,10.9999974955,10.8203763737,10.8203763737,43200,0.0,1.0
WST,2000-01-10 00:00:00+00:00,31.06,31.19,30.5,30.5,23100,11.1580640826,11.2047655742,10.9568884262,10.9568884262,46200,0.0,1.0
WST,2000-01-11 00:00:00+00:00,30.19,31.0,30.19,30.94,11700,10.8455233308,11.136509548,10.8455233308,11.1149550134,23400,0.0,1.0
WST,2000-01-12 00:00:00+00:00,30.38,30.38,30.06,30.06,29200,10.913779357,10.913779357,10.7988218391,10.7988218391,58400,0.0,1.0
WST,2000-01-13 00:00:00+00:00,30.88,31.0,30.38,30.38,17400,11.0934004788,11.136509548,10.913779357,10.913779357,34800,0.0,1.0
WST,2000-01-14 00:00:00+00:00,30.31,30.56,30.12,30.56,37400,10.9497035814,11.0400178636,10.8810647269,11.0400178636,74800,0.17,1.0
WST,2000-01-18 00:00:00+00:00,30.44,30.5,30.31,30.38,26000,10.9966670081,11.0183424359,10.9497035814,10.9749915804,52000,0.0,1.0
WST,2000-01-19 00:00:00+00:00,30.5,30.5,30.19,30.19,61200,11.0183424359,11.0183424359,10.9063527259,10.9063527259,122400,0.0,1.0
WST,2000-01-20 00:00:00+00:00,30.38,30.44,30.25,30.38,23400,10.9749915804,10.9966670081,10.9280281536,10.9749915804,46800,0.0,1.0
WST,2000-01-21 00:00:00+00:00,30.5,30.56,30.38,30.38,36000,11.0183424359,11.0400178636,10.9749915804,10.9749915804,72000,0.0,1.0
WST,2000-01-24 00:00:00+00:00,30.38,30.62,30.38,30.44,28600,10.9749915804,11.0616932914,10.9749915804,10.9966670081,57200,0.0,1.0
WST,2000-01-25 00:00:00+00:00,31.69,31.69,30.31,30.31,76900,11.4482384195,11.4482384195,10.9497035814,10.9497035814,153800,0.0,1.0
WST,2000-01-26 00:00:00+00:00,31.62,31.69,31.56,31.69,1300,11.4229504204,11.4482384195,11.4012749927,11.4482384195,2600,0.0,1.0
WST,2000-01-27 00:00:00+00:00,30.88,31.56,30.88,31.56,9400,11.1556201449,11.4012749927,11.1556201449,11.4012749927,18800,0.0,1.0
WST,2000-01-28 00:00:00+00:00,31.06,31.38,30.81,30.81,73600,11.2206464282,11.3362487094,11.1303321459,11.1303321459,147200,0.0,1.0
WST,2000-01-31 00:00:00+00:00,30.94,31.12,30.62,31.06,45300,11.1772955727,11.2423218559,11.0616932914,11.2206464282,90600,0.0,1.0
WST,2000-02-01 00:00:00+00:00,31.19,31.19,30.94,31.0,58400,11.2676098549,11.2676098549,11.1772955727,11.1989710004,116800,0.0,1.0
WST,2000-02-02 00:00:00+00:00,30.56,31.19,30.5,31.19,5100,11.0400178636,11.2676098549,11.0183424359,11.2676098549,10200,0.0,1.0
WST,2000-02-03 00:00:00+00:00,30.0,30.62,30.0,30.62,15800,10.8377138714,11.0616932914,10.8377138714,11.0616932914,31600,0.0,1.0
WST,2000-02-04 00:00:00+00:00,29.81,29.88,29.81,29.88,3700,10.7690750168,10.7943630159,10.7690750168,10.7943630159,7400,0.0,1.0
