symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
WY,2000-01-03 00:00:00+00:00,69.39,70.64,68.28,70.57,973700,12.5187146077,12.7442282733,12.3184584726,12.731599508,973700,0.0,1.0
WY,2000-01-04 00:00:00+00:00,66.79,69.95,66.1,69.27,1201700,12.0496461831,12.6197447299,11.9251626397,12.4970652958,1201700,0.0,1.0
WY,2000-01-05 00:00:00+00:00,70.33,70.39,66.48,66.79,1184600,12.6883008842,12.6991255402,11.993718794,12.0496461831,1184600,0.0,1.0
WY,2000-01-06 00:00:00+00:00,73.62,73.99,69.71,70.7,1307700,13.2818528522,13.3486048973,12.5764461061,12.7550529293,1307700,0.0,1.0
WY,2000-01-07 00:00:00+00:00,71.19,72.75,70.2,71.57,1728000,12.8434542862,13.1248953409,12.664847463,12.9120104406,1728000,0.0,1.0
WY,2000-01-10 00:00:00+00:00,70.88,71.88,69.64,71.69,821900,12.7875268971,12.9679378297,12.5638173408,12.9336597525,821900,0.0,1.0
WY,2000-01-11 00:00:00+00:00,70.14,71.5,69.64,70.88,677300,12.6540228071,12.8993816753,12.5638173408,12.7875268971,677300,0.0,1.0
WY,2000-01-12 00:00:00+00:00,68.46,69.39,68.28,69.15,689400,12.3509324404,12.5187146077,12.3184584726,12.4754159839,689400,0.0,1.0
WY,2000-01-13 00:00:00+00:00,68.09,68.9,67.28,68.46,805000,12.2841803954,12.4303132507,12.1380475401,12.3509324404,805000,0.0,1.0
WY,2000-01-14 00:00:00+00:00,68.77,68.96,68.15,68.53,863300,12.4068598295,12.4411379067,12.2950050513,12.3635612057,863300,0.0,1.0
WY,2000-01-18 00:00:00+00:00,66.1,68.71,65.36,68.53,825700,11.9251626397,12.3960351736,11.7916585496,12.3635612057,825700,0.0,1.0
WY,2000-01-19 00:00:00+00:00,63.06,63.62,61.26,61.57,3095500,11.3767134048,11.477743527,11.0519737263,11.1079011154,3095500,0.0,1.0
WY,2000-01-20 00:00:00+00:00,64.55,64.74,62.38,63.06,2979700,11.6455256943,11.6798037714,11.2540339707,11.3767134048,2979700,0.0,1.0
WY,2000-01-21 00:00:00+00:00,63.44,64.55,62.26,64.55,1481300,11.4452695592,11.6455256943,11.2323846588,11.6455256943,1481300,0.0,1.0
WY,2000-01-24 00:00:00+00:00,60.58,63.93,58.66,63.44,1534700,10.9292942922,11.5336709161,10.5829053017,11.4452695592,1534700,0.0,1.0
WY,2000-01-25 00:00:00+00:00,57.79,59.65,55.74,59.09,1838000,10.4259477904,10.7615121249,10.0561053788,10.6604820027,1838000,0.0,1.0
WY,2000-01-26 00:00:00+00:00,57.88,60.0,57.5,58.0,2560000,10.4717191265,10.855272073,10.40296907,10.4934296706,2560000,0.163706,1.0
WY,2000-01-27 00:00:00+00:00,57.06,58.81,56.5,58.0,1335000,10.3233637415,10.6399758436,10.2220478688,10.4934296706,1335000,0.0,1.0
WY,2000-01-28 00:00:00+00:00,59.06,59.5,56.0,56.69,2502800,10.6852061439,10.7648114724,10.1315872682,10.256422897,2502800,0.0,1.0
WY,2000-01-31 00:00:00+00:00,57.38,58.69,55.31,58.69,1089600,10.3812585259,10.6182652995,10.0067516393,10.6182652995,1089600,0.0,1.0
WY,2000-02-01 00:00:00+00:00,57.25,58.88,56.31,57.38,1447500,10.3577387697,10.6526403277,10.1876728406,10.3812585259,1447500,0.0,1.0
WY,2000-02-02 00:00:00+00:00,56.5,57.5,55.25,57.25,2137500,10.2220478688,10.40296907,9.9958963673,10.3577387697,2137500,0.0,1.0
WY,2000-02-03 00:00:00+00:00,54.62,56.38,54.56,56.0,1339000,9.8819160105,10.2003373246,9.8710607384,10.1315872682,1339000,0.0,1.0
WY,2000-02-04 00:00:00+00:00,55.0,55.75,54.0,55.25,1950800,9.950666067,10.0863569679,9.7697448657,9.9958963673,1950800,0.0,1.0
WY,2000-02-07 00:00:00+00:00,52.63,54.5,51.88,54.25,1817800,9.5218828201,9.8602054664,9.3861919192,9.814975166,1817800,0.0,1.0
WY,2000-02-08 00:00:00+00:00,53.69,54.19,52.5,53.19,2538300,9.7136592934,9.804119894,9.4983630639,9.6231986928,2538300,0.0,1.0
WY,2000-02-09 00:00:00+00:00,51.94,54.5,51.56,53.06,1426700,9.3970471912,9.8602054664,9.3282971348,9.5996789366,1426700,0.0,1.0
WY,2000-02-10 00:00:00+00:00,52.0,52.31,50.31,51.81,5724400,9.4079024633,9.4639880357,9.1021456333,9.3735274351,5724400,0.0,1.0
WY,2000-02-11 00:00:00+00:00,51.31,52.75,48.88,52.0,2307200,9.2830668345,9.5435933642,8.8434283155,9.4079024633,2307200,0.0,1.0
WY,2000-02-14 00:00:00+00:00,52.12,52.37,49.25,50.69,1491200,9.4296130075,9.4748433078,8.91036916,9.1708956897,1491200,0.0,1.0
WY,2000-02-15 00:00:00+00:00,53.62,54.31,51.06,52.0,1670200,9.7009948093,9.8258304381,9.2378365342,9.4079024633,1670200,0.0,1.0
WY,2000-02-16 00:00:00+00:00,53.5,53.94,51.56,52.88,1392300,9.6792842651,9.7588895937,9.3282971348,9.5671131204,1392300,0.0,1.0
WY,2000-02-17 00:00:00+00:00,52.81,55.12,51.5,54.75,1266200,9.5544486363,9.9723766111,9.3174418627,9.9054357667,1266200,0.0,1.0
WY,2000-02-18 00:00:00+00:00,48.75,52.0,47.44,51.62,1843800,8.8199085594,9.4079024633,8.5829017858,9.3391524068,1843800,0.0,1.0
WY,2000-02-22 00:00:00+00:00,51.62,51.62,48.0,49.19,1660900,9.3391524068,9.3391524068,8.6842176584,8.8995138879,1660900,0.0,1.0
WY,2000-02-23 00:00:00+00:00,50.0,52.0,49.31,52.0,994300,9.0460600609,9.4079024633,8.921224432,9.4079024633,994300,0.0,1.0
WY,2000-02-24 00:00:00+00:00,49.69,49.81,48.13,49.75,1987000,8.9899744885,9.0116850326,8.7077374146,9.0008297606,1987000,0.0,1.0
WY,2000-02-25 00:00:00+00:00,49.31,50.19,48.44,49.63,1077300,8.921224432,9.0804350891,8.763822987,8.9791192164,1077300,0.0,1.0
WY,2000-02-28 00:00:00+00:00,50.25,51.25,49.12,49.37,1599600,9.0912903612,9.2722115624,8.8868494038,8.9320797041,1599600,0.0,1.0
WY,2000-02-29 00:00:00+00:00,51.31,51.88,48.06,49.25,1345600,9.2830668345,9.3861919192,8.6950729305,8.91036916,1345600,0.0,1.0
WY,2000-03-01 00:00:00+00:00,53.44,53.94,51.38,53.5,2072100,9.6684289931,9.7588895937,9.2957313186,9.6792842651,2072100,0.0,1.0
WY,2000-03-02 00:00:00+00:00,52.56,53.31,51.31,53.19,816000,9.509218336,9.6449092369,9.2830668345,9.6231986928,816000,0.0,1.0
WY,2000-03-03 00:00:00+00:00,53.44,55.44,52.44,52.81,1520200,9.6684289931,10.0302713955,9.4875077918,9.5544486363,1520200,0.0,1.0
WY,2000-03-06 00:00:00+00:00,52.44,54.19,51.62,54.19,1171700,9.4875077918,9.804119894,9.3391524068,9.804119894,1171700,0.0,1.0
WY,2000-03-07 00:00:00+00:00,50.38,52.69,50.0,52.37,1522600,9.1148101173,9.5327380922,9.0460600609,9.4748433078,1522600,0.0,1.0
WY,2000-03-08 00:00:00+00:00,52.12,53.94,49.88,50.12,1189800,9.4296130075,9.7588895937,9.0243495167,9.067770605,1189800,0.0,1.0
WY,2000-03-09 00:00:00+00:00,51.75,51.88,50.62,51.25,1442200,9.362672163,9.3861919192,9.1582312056,9.2722115624,1442200,0.0,1.0
WY,2000-03-10 00:00:00+00:00,54.44,55.44,52.31,52.31,887800,9.8493501943,10.0302713955,9.4639880357,9.4639880357,887800,0.0,1.0
WY,2000-03-13 00:00:00+00:00,55.12,55.31,52.81,52.88,1511000,9.9723766111,10.0067516393,9.5544486363,9.5671131204,1511000,0.0,1.0
WY,2000-03-14 00:00:00+00:00,52.19,54.56,51.81,54.38,1132200,9.4422774915,9.8710607384,9.3735274351,9.8384949222,1132200,0.0,1.0
WY,2000-03-15 00:00:00+00:00,54.5,55.37,52.25,52.25,1875200,9.8602054664,10.0176069114,9.4531327636,9.4531327636,1875200,0.0,1.0
WY,2000-03-16 00:00:00+00:00,59.06,59.12,53.5,54.75,2024100,10.6852061439,10.696061416,9.6792842651,9.9054357667,2024100,0.0,1.0
WY,2000-03-17 00:00:00+00:00,55.88,58.5,55.63,58.5,1361600,10.109876724,10.5838902712,10.0646464237,10.5838902712,1361600,0.0,1.0
WY,2000-03-20 00:00:00+00:00,56.75,58.56,56.12,56.12,814600,10.2672781691,10.5947455433,10.1532978123,10.1532978123,814600,0.0,1.0
