symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
WYNN,2002-10-25 00:00:00+00:00,13.01,13.15,12.85,13.05,13965800,7.2110190505,7.2886164884,7.1223362643,7.233189747,13965800,0.0,1.0
WYNN,2002-10-28 00:00:00+00:00,13.01,13.05,12.96,13.01,5505900,7.2110190505,7.233189747,7.1833056798,7.2110190505,5505900,0.0,1.0
WYNN,2002-10-29 00:00:00+00:00,12.64,13.01,12.04,13.0,2235800,7.0059401074,7.2110190505,6.6733796593,7.2054763763,2235800,0.0,1.0
WYNN,2002-10-30 00:00:00+00:00,12.5,12.62,12.13,12.61,905800,6.9283426695,6.9948547592,6.7232637265,6.989312085,905800,0.0,1.0
WYNN,2002-10-31 00:00:00+00:00,12.61,13.02,12.5,12.56,298900,6.989312085,7.2165617246,6.9283426695,6.9615987144,298900,0.0,1.0
WYNN,2002-11-01 00:00:00+00:00,12.61,12.7,12.57,12.59,268800,6.989312085,7.0391961523,6.9671413885,6.9782267368,268800,0.0,1.0
WYNN,2002-11-04 00:00:00+00:00,12.91,12.95,12.65,12.66,1307600,7.1555923091,7.1777630057,7.0114827816,7.0170254557,1307600,0.0,1.0
WYNN,2002-11-05 00:00:00+00:00,13.02,13.24,12.89,12.92,2384700,7.2165617246,7.3385005556,7.1445069608,7.1611349832,2384700,0.0,1.0
WYNN,2002-11-06 00:00:00+00:00,13.0,13.2,13.0,13.03,204300,7.2054763763,7.316329859,7.2054763763,7.2221043987,204300,0.0,1.0
WYNN,2002-11-07 00:00:00+00:00,13.05,13.16,12.36,13.08,724200,7.233189747,7.2941591625,6.8507452316,7.2498177694,724200,0.0,1.0
WYNN,2002-11-08 00:00:00+00:00,12.93,13.04,12.83,13.02,106400,7.1666776574,7.2276470729,7.111250916,7.2165617246,106400,0.0,1.0
WYNN,2002-11-11 00:00:00+00:00,12.71,13.0,12.65,13.0,110500,7.0447388264,7.2054763763,7.0114827816,7.2054763763,110500,0.0,1.0
WYNN,2002-11-12 00:00:00+00:00,11.96,12.74,11.86,12.73,540700,6.6290382662,7.0613668488,6.5736115249,7.0558241747,540700,0.0,1.0
WYNN,2002-11-13 00:00:00+00:00,11.1,12.09,10.76,12.05,685600,6.1523682906,6.70109303,5.9639173699,6.6789223334,685600,0.0,1.0
WYNN,2002-11-14 00:00:00+00:00,11.09,11.25,10.88,11.13,462800,6.1468256164,6.2355084026,6.0304294596,6.168996313,462800,0.0,1.0
WYNN,2002-11-15 00:00:00+00:00,11.55,11.56,11.08,11.1,460700,6.4017886267,6.4073313008,6.1412829423,6.1523682906,460700,0.0,1.0
WYNN,2002-11-18 00:00:00+00:00,12.18,13.05,11.57,11.58,325400,6.7509770972,7.233189747,6.4128739749,6.4184166491,325400,0.0,1.0
WYNN,2002-11-19 00:00:00+00:00,12.6,12.8,12.02,12.36,211400,6.9837694109,7.0946228936,6.662294311,6.8507452316,211400,0.0,1.0
WYNN,2002-11-20 00:00:00+00:00,12.41,12.6,12.23,12.56,92700,6.8784586023,6.9837694109,6.7786904679,6.9615987144,92700,0.0,1.0
WYNN,2002-11-21 00:00:00+00:00,12.85,12.85,12.54,12.54,91300,7.1223362643,7.1223362643,6.9505133661,6.9505133661,91300,0.0,1.0
WYNN,2002-11-22 00:00:00+00:00,12.65,12.86,12.5,12.85,55300,7.0114827816,7.1278789384,6.9283426695,7.1223362643,55300,0.0,1.0
WYNN,2002-11-25 00:00:00+00:00,12.93,13.0,12.66,12.8,111000,7.1666776574,7.2054763763,7.0170254557,7.0946228936,111000,0.0,1.0
WYNN,2002-11-26 00:00:00+00:00,12.74,12.94,12.74,12.94,59300,7.0613668488,7.1722203315,7.0613668488,7.1722203315,59300,0.0,1.0
WYNN,2002-11-27 00:00:00+00:00,12.5,12.9,12.5,12.9,94300,6.9283426695,7.150049635,6.9283426695,7.150049635,94300,0.0,1.0
WYNN,2002-11-29 00:00:00+00:00,12.82,12.89,12.6,12.78,35400,7.1057082419,7.1445069608,6.9837694109,7.0835375453,35400,0.0,1.0
WYNN,2002-12-02 00:00:00+00:00,12.41,12.95,12.35,12.94,93600,6.8784586023,7.1777630057,6.8452025575,7.1722203315,93600,0.0,1.0
WYNN,2002-12-03 00:00:00+00:00,12.37,12.5,12.31,12.5,31100,6.8562879058,6.9283426695,6.823031861,6.9283426695,31100,0.0,1.0
WYNN,2002-12-04 00:00:00+00:00,12.6,12.6,12.31,12.45,42300,6.9837694109,6.9837694109,6.823031861,6.9006292989,42300,0.0,1.0
WYNN,2002-12-05 00:00:00+00:00,13.28,13.3,12.76,12.85,366100,7.3606712521,7.3717566004,7.0724521971,7.1223362643,366100,0.0,1.0
WYNN,2002-12-06 00:00:00+00:00,13.18,13.38,12.99,13.15,129300,7.3052445108,7.4160979935,7.1999337022,7.2886164884,129300,0.0,1.0
WYNN,2002-12-09 00:00:00+00:00,13.0,13.3,12.87,13.29,106900,7.2054763763,7.3717566004,7.1334216126,7.3662139263,106900,0.0,1.0
WYNN,2002-12-10 00:00:00+00:00,13.0,13.19,12.93,13.0,48300,7.2054763763,7.3107871849,7.1666776574,7.2054763763,48300,0.0,1.0
WYNN,2002-12-11 00:00:00+00:00,13.25,13.35,13.02,13.1,189700,7.3440432297,7.3994699711,7.2165617246,7.2609031177,189700,0.0,1.0
WYNN,2002-12-12 00:00:00+00:00,13.74,13.8,13.27,13.39,361400,7.6156342624,7.6488903072,7.355128578,7.4216406676,361400,0.0,1.0
WYNN,2002-12-13 00:00:00+00:00,13.6,14.39,13.53,13.73,615500,7.5380368245,7.9759080812,7.4992381055,7.6100915882,615500,0.0,1.0
WYNN,2002-12-16 00:00:00+00:00,13.68,14.07,13.66,13.75,170900,7.5823782176,7.7985425088,7.5712928693,7.6211769365,170900,0.0,1.0
WYNN,2002-12-17 00:00:00+00:00,13.49,13.91,13.31,13.91,95100,7.477067409,7.7098597227,7.3772992745,7.7098597227,95100,0.0,1.0
WYNN,2002-12-18 00:00:00+00:00,13.32,13.59,13.06,13.5,110800,7.3828419487,7.5324941503,7.2387324211,7.4826100831,110800,0.0,1.0
WYNN,2002-12-19 00:00:00+00:00,12.75,13.5,12.5,13.5,233700,7.0669095229,7.4826100831,6.9283426695,7.4826100831,233700,0.0,1.0
WYNN,2002-12-20 00:00:00+00:00,13.09,13.4,12.69,12.8,134900,7.2553604436,7.4271833418,7.0336534781,7.0946228936,134900,0.0,1.0
