symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
XEL,2000-01-03 00:00:00+00:00,19.0,19.62,18.94,19.62,2738600,7.2959395396,7.5340175667,7.2728997305,7.5340175667,2738600,0.0,1.0
XEL,2000-01-04 00:00:00+00:00,19.44,19.5,19.0,19.06,425200,7.4648981394,7.4879379485,7.2959395396,7.3189793487,425200,0.0,1.0
XEL,2000-01-05 00:00:00+00:00,19.94,20.13,19.44,19.44,500200,7.6568965484,7.7298559438,7.4648981394,7.4648981394,500200,0.0,1.0
XEL,2000-01-06 00:00:00+00:00,20.0,20.13,19.81,20.13,344100,7.6799363575,7.7298559438,7.6069769621,7.7298559438,344100,0.0,1.0
XEL,2000-01-07 00:00:00+00:00,20.0,20.0,19.88,20.0,469500,7.6799363575,7.6799363575,7.6338567393,7.6799363575,469500,0.0,1.0
XEL,2000-01-10 00:00:00+00:00,20.0,20.06,19.88,20.06,522000,7.6799363575,7.7029761665,7.6338567393,7.7029761665,522000,0.0,1.0
XEL,2000-01-11 00:00:00+00:00,20.0,20.06,19.94,19.94,557400,7.6799363575,7.7029761665,7.6568965484,7.6568965484,557400,0.0,1.0
XEL,2000-01-12 00:00:00+00:00,20.44,20.56,20.0,20.0,410500,7.8488949573,7.8949745755,7.6799363575,7.6799363575,410500,0.0,1.0
XEL,2000-01-13 00:00:00+00:00,20.38,20.5,20.25,20.38,308000,7.8258551482,7.8719347664,7.7759355619,7.8258551482,308000,0.0,1.0
XEL,2000-01-14 00:00:00+00:00,20.44,20.44,20.13,20.38,659100,7.8488949573,7.8488949573,7.7298559438,7.8258551482,659100,0.0,1.0
XEL,2000-01-18 00:00:00+00:00,19.81,20.31,19.69,20.31,843200,7.6069769621,7.798975371,7.5608973439,7.798975371,843200,0.0,1.0
XEL,2000-01-19 00:00:00+00:00,19.81,19.88,19.69,19.75,578200,7.6069769621,7.6338567393,7.5608973439,7.583937153,578200,0.0,1.0
XEL,2000-01-20 00:00:00+00:00,19.63,19.88,19.56,19.81,566200,7.5378575348,7.6338567393,7.5109777576,7.6069769621,566200,0.0,1.0
XEL,2000-01-21 00:00:00+00:00,19.75,19.94,19.63,19.63,1021700,7.583937153,7.6568965484,7.5378575348,7.5378575348,1021700,0.0,1.0
XEL,2000-01-24 00:00:00+00:00,19.69,19.81,19.63,19.75,649100,7.5608973439,7.6069769621,7.5378575348,7.583937153,649100,0.0,1.0
XEL,2000-01-25 00:00:00+00:00,19.5,19.69,19.31,19.69,344900,7.4879379485,7.5608973439,7.4149785531,7.5608973439,344900,0.0,1.0
XEL,2000-01-26 00:00:00+00:00,19.13,19.63,19.0,19.63,1137000,7.3458591259,7.5378575348,7.2959395396,7.5378575348,1137000,0.0,1.0
XEL,2000-01-27 00:00:00+00:00,19.31,19.5,19.19,19.25,493400,7.4149785531,7.4879379485,7.368898935,7.3919387441,493400,0.0,1.0
XEL,2000-01-28 00:00:00+00:00,19.25,19.5,19.25,19.31,289700,7.3919387441,7.4879379485,7.3919387441,7.4149785531,289700,0.0,1.0
XEL,2000-01-31 00:00:00+00:00,19.25,19.38,19.13,19.25,526700,7.3919387441,7.4418583304,7.3458591259,7.3919387441,526700,0.0,1.0
XEL,2000-02-01 00:00:00+00:00,19.25,19.38,19.13,19.38,446600,7.3919387441,7.4418583304,7.3458591259,7.4418583304,446600,0.0,1.0
XEL,2000-02-02 00:00:00+00:00,19.06,19.44,19.06,19.38,313200,7.3189793487,7.4648981394,7.3189793487,7.4418583304,313200,0.0,1.0
XEL,2000-02-03 00:00:00+00:00,19.63,19.69,19.19,19.19,483400,7.5378575348,7.5608973439,7.368898935,7.368898935,483400,0.0,1.0
XEL,2000-02-04 00:00:00+00:00,19.31,19.63,19.13,19.63,336400,7.4149785531,7.5378575348,7.3458591259,7.5378575348,336400,0.0,1.0
XEL,2000-02-07 00:00:00+00:00,19.06,19.31,19.0,19.31,348300,7.3189793487,7.4149785531,7.2959395396,7.4149785531,348300,0.0,1.0
XEL,2000-02-08 00:00:00+00:00,19.06,19.19,19.0,19.06,364900,7.3189793487,7.368898935,7.2959395396,7.3189793487,364900,0.0,1.0
