symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
YUM,2000-01-03 00:00:00+00:00,37.31,38.56,37.06,38.56,545200,4.4841777841,4.6344115613,4.4541310286,4.6344115613,3051826,0.0,1.0
YUM,2000-01-04 00:00:00+00:00,36.56,37.5,36.0,37.0,595800,4.3940375177,4.5070133182,4.3267327855,4.4469198073,3335066,0.0,1.0
YUM,2000-01-05 00:00:00+00:00,36.81,36.88,36.56,36.75,834400,4.4240842732,4.4324973647,4.3940375177,4.4168730519,4670660,0.0,1.0
YUM,2000-01-06 00:00:00+00:00,36.44,36.81,36.38,36.5,709500,4.3796150751,4.4240842732,4.3724038538,4.3868262964,3971516,0.0,1.0
YUM,2000-01-07 00:00:00+00:00,35.63,36.5,35.38,36.44,1089800,4.2822635874,4.3868262964,4.252216832,4.3796150751,6100294,0.0,1.0
YUM,2000-01-10 00:00:00+00:00,37.06,37.5,35.5,35.56,994100,4.4541310286,4.5070133182,4.2666392746,4.2738504959,5564601,0.0,1.0
YUM,2000-01-11 00:00:00+00:00,36.81,37.5,36.31,36.75,759300,4.4240842732,4.5070133182,4.3639907623,4.4168730519,4250278,0.0,1.0
YUM,2000-01-12 00:00:00+00:00,36.44,37.5,36.44,37.0,1766400,4.3796150751,4.5070133182,4.3796150751,4.4469198073,9887648,0.0,1.0
YUM,2000-01-13 00:00:00+00:00,37.0,37.94,36.75,36.88,992600,4.4469198073,4.5598956078,4.4168730519,4.4324973647,5556204,0.0,1.0
YUM,2000-01-14 00:00:00+00:00,36.0,37.06,35.81,37.0,573000,4.3267327855,4.4541310286,4.3038972513,4.4469198073,3207440,0.0,1.0
YUM,2000-01-18 00:00:00+00:00,34.94,35.75,34.63,35.5,1347500,4.1993345424,4.29668603,4.1620765656,4.2666392746,7542802,0.0,1.0
YUM,2000-01-19 00:00:00+00:00,33.63,34.75,33.38,34.69,1749400,4.0418895438,4.1764990082,4.0118427883,4.1692877869,9792489,0.0,1.0
YUM,2000-01-20 00:00:00+00:00,31.81,33.44,31.69,33.44,1624600,3.8231491641,4.0190540096,3.8087267214,4.0190540096,9093905,0.0,1.0
YUM,2000-01-21 00:00:00+00:00,31.88,32.19,31.75,31.81,1289900,3.8315622556,3.8688202324,3.8159379428,3.8231491641,7220379,0.0,1.0
