symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ZBRA,2000-01-03 00:00:00+00:00,56.31,58.5,55.75,58.34,469200,11.1785766599,11.613332172,11.0674063007,11.5815692122,2363507,0.0,1.0
ZBRA,2000-01-04 00:00:00+00:00,55.5,56.63,51.75,56.31,232178,11.017776676,11.2421025795,10.273332306,11.1785766599,1169553,0.0,1.0
ZBRA,2000-01-05 00:00:00+00:00,56.75,56.75,53.0,53.03,272044,11.2659247993,11.2659247993,10.5214804293,10.5274359843,1370371,0.0,1.0
ZBRA,2000-01-06 00:00:00+00:00,53.5,55.84,53.38,55.84,117244,10.6207396787,11.0852729655,10.5969174588,11.0852729655,590594,0.0,1.0
ZBRA,2000-01-07 00:00:00+00:00,52.91,54.13,52.0,53.25,148400,10.5036137645,10.7458063328,10.3229619307,10.571110054,747537,0.0,1.0
ZBRA,2000-01-10 00:00:00+00:00,54.69,56.25,52.75,52.75,144800,10.8569766921,11.16666555,10.4718508047,10.4718508047,729403,0.0,1.0
ZBRA,2000-01-11 00:00:00+00:00,55.06,55.75,54.0,54.44,141244,10.9304285366,11.0674063007,10.719998928,10.8073470674,711490,0.0,1.0
ZBRA,2000-01-12 00:00:00+00:00,53.69,55.25,53.13,54.75,227867,10.6584581934,10.9681470513,10.5472878342,10.868887802,1147837,0.0,1.0
ZBRA,2000-01-13 00:00:00+00:00,53.88,55.0,52.5,54.88,176667,10.6961767082,10.9185174267,10.42222118,10.8946952068,889927,0.0,1.0
ZBRA,2000-01-14 00:00:00+00:00,59.94,60.25,53.5,53.88,448400,11.8991988101,11.9607395447,10.6207396787,10.6961767082,2258731,0.0,1.0
ZBRA,2000-01-18 00:00:00+00:00,59.56,60.5,57.81,59.63,280267,11.8237617806,12.0103691693,11.4763544079,11.8376580755,1411792,0.0,1.0
ZBRA,2000-01-19 00:00:00+00:00,59.19,60.0,58.5,59.53,123378,11.7503099361,11.91110992,11.613332172,11.8178062256,621493,0.0,1.0
ZBRA,2000-01-20 00:00:00+00:00,61.25,62.81,59.13,59.5,483467,12.1592580433,12.4689469013,11.7383988262,11.8118506707,2435375,0.0,1.0
ZBRA,2000-01-21 00:00:00+00:00,62.88,62.88,61.25,61.75,132578,12.4828431962,12.4828431962,12.1592580433,12.2585172927,667837,0.0,1.0
ZBRA,2000-01-24 00:00:00+00:00,63.06,64.88,62.5,62.88,172578,12.5185765259,12.8798801935,12.4074061667,12.4828431962,869329,0.0,1.0
ZBRA,2000-01-25 00:00:00+00:00,62.09,63.5,61.38,63.0,478444,12.3260135822,12.6059246653,12.1850654482,12.506665416,2410072,0.0,1.0
ZBRA,2000-01-26 00:00:00+00:00,61.88,62.63,61.69,62.47,538978,12.2843246975,12.4332135715,12.2466061827,12.4014506117,2715001,0.0,1.0
ZBRA,2000-01-27 00:00:00+00:00,63.13,64.5,61.25,61.25,216178,12.5324728208,12.804443164,12.1592580433,12.1592580433,1088956,0.0,1.0
ZBRA,2000-01-28 00:00:00+00:00,62.06,63.81,61.88,63.06,213200,12.3200580273,12.6674653999,12.2843246975,12.5185765259,1073955,0.0,1.0
ZBRA,2000-01-31 00:00:00+00:00,59.19,63.69,57.25,62.06,149644,11.7503099361,12.6436431801,11.3651840487,12.3200580273,753803,0.0,1.0
ZBRA,2000-02-01 00:00:00+00:00,59.56,61.56,58.5,59.94,160044,11.8237617806,12.2207987779,11.613332172,11.8991988101,806191,0.0,1.0
ZBRA,2000-02-02 00:00:00+00:00,59.09,60.38,57.75,59.5,219867,11.7304580862,11.9865469495,11.464443298,11.8118506707,1107539,0.0,1.0
ZBRA,2000-02-03 00:00:00+00:00,65.0,68.63,58.88,59.09,597600,12.9037024133,13.6243245635,11.6887692015,11.7304580862,3010298,0.0,1.0
ZBRA,2000-02-04 00:00:00+00:00,66.19,68.63,65.5,67.25,284444,13.1399394267,13.6243245635,13.0029616627,13.3503690353,1432833,0.0,1.0
ZBRA,2000-02-07 00:00:00+00:00,67.25,68.0,65.88,66.44,208978,13.3503690353,13.4992579093,13.0783986922,13.1895690514,1052687,0.0,1.0
ZBRA,2000-02-08 00:00:00+00:00,68.06,69.88,66.81,67.0,281244,13.5111690193,13.8724726868,13.2630208959,13.3007394107,1416714,0.0,1.0
ZBRA,2000-02-09 00:00:00+00:00,67.44,68.88,67.44,68.06,146000,13.3880875501,13.6739541882,13.3880875501,13.5111690193,735447,0.0,1.0
ZBRA,2000-02-10 00:00:00+00:00,67.31,68.81,66.0,68.06,165200,13.3622801453,13.6600578933,13.102220912,13.5111690193,832164,0.0,1.0
ZBRA,2000-02-11 00:00:00+00:00,65.25,66.88,64.88,66.06,258844,12.953332038,13.2769171908,12.8798801935,13.1141320219,1303878,0.0,1.0
ZBRA,2000-02-14 00:00:00+00:00,66.72,67.5,64.69,65.5,132000,13.245154231,13.39999866,12.8421616787,13.0029616627,664925,0.0,1.0
ZBRA,2000-02-15 00:00:00+00:00,66.88,69.25,66.5,66.75,195467,13.2769171908,13.7474060327,13.2014801613,13.251109786,984628,0.0,1.0
ZBRA,2000-02-16 00:00:00+00:00,69.63,70.88,66.25,67.63,131467,13.8228430622,14.0709911855,13.1518505367,13.4258060648,662240,0.0,1.0
ZBRA,2000-02-17 00:00:00+00:00,60.63,70.75,60.0,70.0,1957200,12.0361765742,14.0451837807,11.91110992,13.8962949067,9859030,0.0,1.0
ZBRA,2000-02-18 00:00:00+00:00,60.38,61.88,58.75,60.94,455778,11.9865469495,12.2843246975,11.6629617967,12.0977173087,2295896,0.0,1.0
ZBRA,2000-02-22 00:00:00+00:00,56.44,61.25,56.25,61.22,735467,11.2043840647,12.1592580433,11.16666555,12.1533024884,3704778,0.0,1.0
ZBRA,2000-02-23 00:00:00+00:00,62.63,62.69,56.44,57.38,477244,12.4332135715,12.4451246814,11.2043840647,11.3909914535,2404027,0.0,1.0
ZBRA,2000-02-24 00:00:00+00:00,63.38,63.88,62.5,63.0,189067,12.5821024455,12.6813616948,12.4074061667,12.506665416,952389,0.0,1.0
ZBRA,2000-02-25 00:00:00+00:00,63.03,63.38,62.5,63.38,136578,12.512620971,12.5821024455,12.4074061667,12.5821024455,687986,0.0,1.0
ZBRA,2000-02-28 00:00:00+00:00,63.75,64.0,62.25,63.03,196844,12.65555429,12.7051839147,12.357776542,12.512620971,991565,0.0,1.0
ZBRA,2000-02-29 00:00:00+00:00,66.56,67.25,63.25,63.25,237600,13.2133912713,13.3503690353,12.5562950407,12.5562950407,1196865,0.0,1.0
ZBRA,2000-03-01 00:00:00+00:00,67.0,68.0,64.0,67.19,121378,13.3007394107,13.4992579093,12.7051839147,13.3384579254,611419,0.0,1.0
ZBRA,2000-03-02 00:00:00+00:00,66.06,66.75,65.25,65.28,122800,13.1141320219,13.251109786,12.953332038,12.959287593,618582,0.0,1.0
ZBRA,2000-03-03 00:00:00+00:00,66.69,67.0,65.0,65.69,241378,13.2391986761,13.3007394107,12.9037024133,13.0406801774,1215896,0.0,1.0
ZBRA,2000-03-06 00:00:00+00:00,66.5,67.75,65.88,66.81,109200,13.2014801613,13.4496282847,13.0783986922,13.2630208959,550074,0.0,1.0
ZBRA,2000-03-07 00:00:00+00:00,66.13,70.06,65.38,66.5,220978,13.1280283168,13.9082060166,12.9791394428,13.2014801613,1113135,0.0,1.0
ZBRA,2000-03-08 00:00:00+00:00,64.13,66.0,62.56,66.0,152044,12.7309913195,13.102220912,12.4193172766,13.102220912,765893,0.0,1.0
ZBRA,2000-03-09 00:00:00+00:00,64.13,65.0,63.5,64.06,118578,12.7309913195,12.9037024133,12.6059246653,12.7170950246,597314,0.0,1.0
ZBRA,2000-03-10 00:00:00+00:00,62.94,65.63,62.75,65.0,126000,12.4947543061,13.0287690675,12.4570357913,12.9037024133,634701,0.0,1.0
ZBRA,2000-03-13 00:00:00+00:00,60.63,63.63,59.5,62.75,114444,12.0361765742,12.6317320702,11.8118506707,12.4570357913,576490,0.0,1.0
ZBRA,2000-03-14 00:00:00+00:00,60.38,62.06,60.13,60.44,135644,11.9865469495,12.3200580273,11.9369173248,11.9984580594,683281,0.0,1.0
ZBRA,2000-03-15 00:00:00+00:00,56.56,61.13,50.69,61.13,523644,11.2282062846,12.1354358235,10.0629026974,12.1354358235,2637759,0.0,1.0
ZBRA,2000-03-16 00:00:00+00:00,46.5,56.56,43.75,55.5,1243467,9.231110188,11.2282062846,8.6851843167,11.017776676,6263733,0.0,1.0
ZBRA,2000-03-17 00:00:00+00:00,43.84,48.38,39.81,47.63,2618844,8.7030509815,9.6043249655,7.9030214319,9.4554360915,13191939,0.0,1.0
ZBRA,2000-03-20 00:00:00+00:00,45.0,49.75,45.0,45.0,722667,8.93333244,9.8762953087,8.93333244,8.93333244,3640300,0.0,1.0
ZBRA,2000-03-21 00:00:00+00:00,49.66,50.25,45.75,45.88,807644,9.8584286438,9.975554558,9.082221314,9.1080287188,4068356,0.0,1.0
ZBRA,2000-03-22 00:00:00+00:00,45.63,50.13,44.0,44.5,2673600,9.0583990942,9.9517323382,8.7348139413,8.8340731907,13467762,0.0,1.0
ZBRA,2000-03-23 00:00:00+00:00,46.13,47.38,45.0,45.72,742978,9.1576583435,9.4058064668,8.93333244,9.076265759,3742613,0.0,1.0
ZBRA,2000-03-24 00:00:00+00:00,51.44,53.25,48.0,48.19,727244,10.2117915714,10.571110054,9.528887936,9.5666064507,3663356,0.0,1.0
ZBRA,2000-03-27 00:00:00+00:00,52.5,53.0,51.38,52.13,184044,10.42222118,10.5214804293,10.1998804615,10.3487693355,927087,0.0,1.0
ZBRA,2000-03-28 00:00:00+00:00,51.06,52.75,50.5,52.75,367867,10.1363545419,10.4718508047,10.0251841827,10.4718508047,1853061,0.0,1.0
ZBRA,2000-03-29 00:00:00+00:00,50.06,51.38,49.25,51.22,335200,9.9378360433,10.1998804615,9.7770360593,10.1681175017,1688507,0.0,1.0
ZBRA,2000-03-30 00:00:00+00:00,48.25,51.0,48.0,49.75,178267,9.5785175607,10.124443432,9.528887936,9.8762953087,897986,0.0,1.0
ZBRA,2000-03-31 00:00:00+00:00,50.0,51.06,47.5,49.5,406400,9.9259249333,10.1363545419,9.4296286867,9.826665684,2047164,0.0,1.0
ZBRA,2000-04-03 00:00:00+00:00,47.94,50.38,46.63,49.75,366800,9.5169768261,10.0013619628,9.2569175928,9.8762953087,1847686,0.0,1.0
ZBRA,2000-04-04 00:00:00+00:00,47.38,49.44,43.75,47.94,570178,9.4058064668,9.8147545741,8.6851843167,9.5169768261,2872165,0.0,1.0
ZBRA,2000-04-05 00:00:00+00:00,49.13,50.25,46.38,46.5,577467,9.7532138395,9.975554558,9.2072879682,9.231110188,2908882,0.0,1.0
ZBRA,2000-04-06 00:00:00+00:00,53.0,54.47,48.0,48.0,308800,10.5214804293,10.8133026224,9.528887936,9.528887936,1555522,0.0,1.0
ZBRA,2000-04-07 00:00:00+00:00,54.13,54.25,52.0,53.38,290000,10.7458063328,10.7696285527,10.3229619307,10.5969174588,1460821,0.0,1.0
ZBRA,2000-04-10 00:00:00+00:00,50.25,54.25,48.0,53.94,326178,9.975554558,10.7696285527,9.528887936,10.7080878181,1643060,0.0,1.0
ZBRA,2000-04-11 00:00:00+00:00,49.0,49.88,47.5,48.81,284267,9.7274064347,9.9021027135,9.4296286867,9.6896879199,1431942,0.0,1.0
ZBRA,2000-04-12 00:00:00+00:00,47.56,49.13,47.5,49.0,372000,9.4415397966,9.7532138395,9.4296286867,9.7274064347,1873880,0.0,1.0
ZBRA,2000-04-13 00:00:00+00:00,47.63,48.69,47.5,47.69,216800,9.4554360915,9.6658657001,9.4296286867,9.4673472014,1092089,0.0,1.0
ZBRA,2000-04-14 00:00:00+00:00,46.19,47.38,46.0,47.38,284578,9.1695694534,9.4058064668,9.1318509387,9.4058064668,1433508,0.0,1.0
ZBRA,2000-04-17 00:00:00+00:00,48.06,49.13,45.5,46.13,368667,9.5407990459,9.7532138395,9.0325916893,9.1576583435,1857091,0.0,1.0
ZBRA,2000-04-18 00:00:00+00:00,49.88,50.38,48.0,48.88,316000,9.9021027135,10.0013619628,9.528887936,9.7035842148,1591791,0.0,1.0
ZBRA,2000-04-19 00:00:00+00:00,46.44,50.63,44.0,50.13,425778,9.2191990781,10.0509915875,8.7348139413,9.9517323382,2144777,0.0,1.0
ZBRA,2000-04-20 00:00:00+00:00,54.56,57.0,48.0,48.0,950667,10.8311692873,11.315554424,9.528887936,9.528887936,4788808,0.0,1.0
ZBRA,2000-04-24 00:00:00+00:00,54.38,55.38,50.63,52.88,346800,10.7954359575,10.9939544562,10.0509915875,10.4976582095,1746940,0.0,1.0
ZBRA,2000-04-25 00:00:00+00:00,57.81,58.0,55.13,55.25,195200,11.4763544079,11.5140729227,10.9443248315,10.9681470513,983283,0.0,1.0
ZBRA,2000-04-26 00:00:00+00:00,54.56,58.0,54.0,57.5,125778,10.8311692873,11.5140729227,10.719998928,11.4148136733,633583,0.0,1.0
ZBRA,2000-04-27 00:00:00+00:00,56.63,57.0,52.0,53.03,232844,11.2421025795,11.315554424,10.3229619307,10.5274359843,1172908,0.0,1.0
ZBRA,2000-04-28 00:00:00+00:00,57.0,58.06,54.13,57.25,111778,11.315554424,11.5259840326,10.7458063328,11.3651840487,563060,0.0,1.0
ZBRA,2000-05-01 00:00:00+00:00,57.38,58.0,55.75,56.56,109600,11.3909914535,11.5140729227,11.0674063007,11.2282062846,552089,0.0,1.0
ZBRA,2000-05-02 00:00:00+00:00,52.44,57.38,52.25,57.31,135644,10.4103100701,11.3909914535,10.3725915553,11.3770951586,683281,0.0,1.0
ZBRA,2000-05-03 00:00:00+00:00,52.94,54.5,51.75,52.38,217778,10.5095693194,10.8192581773,10.273332306,10.3983989602,1097016,0.0,1.0
ZBRA,2000-05-04 00:00:00+00:00,52.88,53.75,52.38,53.0,269867,10.4976582095,10.6703693033,10.3983989602,10.5214804293,1359404,0.0,1.0
ZBRA,2000-05-05 00:00:00+00:00,54.56,54.75,51.69,52.13,82800,10.8311692873,10.868887802,10.2614211961,10.3487693355,417089,0.0,1.0
ZBRA,2000-05-08 00:00:00+00:00,50.38,54.75,50.38,54.75,171067,10.0013619628,10.868887802,10.0013619628,10.868887802,861718,0.0,1.0
ZBRA,2000-05-09 00:00:00+00:00,48.5,52.06,47.38,51.25,179600,9.6281471853,10.3348730406,9.4058064668,10.1740730567,904701,0.0,1.0
ZBRA,2000-05-10 00:00:00+00:00,47.63,48.63,45.88,48.38,224044,9.4554360915,9.6539545902,9.1080287188,9.6043249655,1128579,0.0,1.0
ZBRA,2000-05-11 00:00:00+00:00,52.5,53.5,48.25,49.0,291467,10.42222118,10.6207396787,9.5785175607,9.7274064347,1468210,0.0,1.0
ZBRA,2000-05-12 00:00:00+00:00,52.88,54.0,52.19,52.44,133200,10.4976582095,10.719998928,10.3606804454,10.4103100701,670970,0.0,1.0
ZBRA,2000-05-15 00:00:00+00:00,51.13,53.5,49.5,53.45,164178,10.1502508368,10.6207396787,9.826665684,10.6108137537,827016,0.0,1.0
ZBRA,2000-05-16 00:00:00+00:00,50.69,51.5,49.75,51.06,209200,10.0629026974,10.2237026813,9.8762953087,10.1363545419,1053806,0.0,1.0
ZBRA,2000-05-17 00:00:00+00:00,50.19,50.59,49.5,50.59,124578,9.9636434481,10.0430508475,9.826665684,10.0430508475,627538,0.0,1.0
ZBRA,2000-05-18 00:00:00+00:00,49.88,50.5,49.25,50.0,159644,9.9021027135,10.0251841827,9.7770360593,9.9259249333,804176,0.0,1.0
ZBRA,2000-05-19 00:00:00+00:00,48.06,50.31,47.5,50.31,103778,9.5407990459,9.9874656679,9.4296286867,9.9874656679,522762,0.0,1.0
ZBRA,2000-05-22 00:00:00+00:00,50.5,50.5,46.75,48.25,175378,10.0251841827,10.0251841827,9.2807398127,9.5785175607,883434,0.0,1.0
ZBRA,2000-05-23 00:00:00+00:00,46.88,50.25,46.63,49.88,172444,9.3065472175,9.975554558,9.2569175928,9.9021027135,868654,0.0,1.0
ZBRA,2000-05-24 00:00:00+00:00,50.69,50.75,45.0,47.56,425467,10.0629026974,10.0748138073,8.93333244,9.4415397966,2143210,0.0,1.0
ZBRA,2000-05-25 00:00:00+00:00,46.88,50.88,46.75,50.63,173778,9.3065472175,10.1006212122,9.2807398127,10.0509915875,875374,0.0,1.0
ZBRA,2000-05-26 00:00:00+00:00,46.88,49.0,46.25,47.5,166044,9.3065472175,9.7274064347,9.1814805633,9.4296286867,836415,0.0,1.0
ZBRA,2000-05-30 00:00:00+00:00,48.81,48.81,46.5,47.0,245867,9.6896879199,9.6896879199,9.231110188,9.3303694373,1238509,0.0,1.0
ZBRA,2000-05-31 00:00:00+00:00,48.0,49.0,48.0,48.94,311067,9.528887936,9.7274064347,9.528887936,9.7154953247,1566942,0.0,1.0
ZBRA,2000-06-01 00:00:00+00:00,49.56,49.63,48.06,48.06,149200,9.8385767939,9.8524730888,9.5407990459,9.5407990459,751567,0.0,1.0
ZBRA,2000-06-02 00:00:00+00:00,51.19,52.38,49.81,49.81,328444,10.1621619467,10.3983989602,9.8882064186,9.8882064186,1654475,0.0,1.0
ZBRA,2000-06-05 00:00:00+00:00,52.27,52.63,51.25,51.38,273467,10.3765619253,10.4480285848,10.1740730567,10.1998804615,1377539,0.0,1.0
ZBRA,2000-06-06 00:00:00+00:00,50.22,52.69,50.0,52.0,129200,9.969599003,10.4599396947,9.9259249333,10.3229619307,650820,0.0,1.0
ZBRA,2000-06-07 00:00:00+00:00,53.75,53.75,50.38,51.0,176578,10.6703693033,10.6703693033,10.0013619628,10.124443432,889478,0.0,1.0
ZBRA,2000-06-08 00:00:00+00:00,52.88,54.25,52.56,53.13,173644,10.4976582095,10.7696285527,10.4341322899,10.5472878342,874699,0.0,1.0
ZBRA,2000-06-09 00:00:00+00:00,53.5,53.94,52.75,53.06,53067,10.6207396787,10.7080878181,10.4718508047,10.5333915393,267315,0.0,1.0
ZBRA,2000-06-12 00:00:00+00:00,51.63,53.75,51.06,53.19,319867,10.2495100862,10.6703693033,10.1363545419,10.5591989441,1611270,0.0,1.0
ZBRA,2000-06-13 00:00:00+00:00,48.13,50.5,47.5,49.75,477467,9.5546953408,10.0251841827,9.4296286867,9.8762953087,2405151,0.0,1.0
ZBRA,2000-06-14 00:00:00+00:00,47.13,49.63,47.0,49.31,366800,9.3561768422,9.8524730888,9.3303694373,9.7889471693,1847686,0.0,1.0
ZBRA,2000-06-15 00:00:00+00:00,46.06,47.13,44.75,47.03,951244,9.1437620486,9.3561768422,8.8837028153,9.3363249923,4791714,0.0,1.0
ZBRA,2000-06-16 00:00:00+00:00,45.38,46.94,44.63,46.47,366800,9.0087694695,9.3184583274,8.8598805955,9.225154633,1847686,0.0,1.0
ZBRA,2000-06-19 00:00:00+00:00,44.56,45.38,44.0,45.34,447244,8.8459843006,9.0087694695,8.7348139413,9.0008287295,2252908,0.0,1.0
ZBRA,2000-06-20 00:00:00+00:00,47.0,47.63,44.5,44.56,818800,9.3303694373,9.4554360915,8.8340731907,8.8459843006,4124552,0.0,1.0
ZBRA,2000-06-21 00:00:00+00:00,46.5,47.5,46.25,46.25,438044,9.231110188,9.4296286867,9.1814805633,9.1814805633,2206565,0.0,1.0
ZBRA,2000-06-22 00:00:00+00:00,45.63,46.88,45.5,46.69,543600,9.0583990942,9.3065472175,9.0325916893,9.2688287027,2738283,0.0,1.0
ZBRA,2000-06-23 00:00:00+00:00,43.69,45.72,43.5,45.72,240178,8.6732732067,9.076265759,8.635554692,9.076265759,1209851,0.0,1.0
ZBRA,2000-06-26 00:00:00+00:00,43.13,44.06,42.75,43.88,373200,8.5621028475,8.7467250513,8.486665818,8.7109917215,1879925,0.0,1.0
ZBRA,2000-06-27 00:00:00+00:00,44.0,44.13,42.13,43.06,392178,8.7348139413,8.7606213462,8.3635843488,8.5482065526,1975523,0.0,1.0
ZBRA,2000-06-28 00:00:00+00:00,45.13,45.19,43.75,43.75,379067,8.9591398448,8.9710509547,8.6851843167,8.6851843167,1909479,0.0,1.0
ZBRA,2000-06-29 00:00:00+00:00,44.94,45.25,44.5,44.56,179467,8.9214213301,8.9829620647,8.8340731907,8.8459843006,904031,0.0,1.0
ZBRA,2000-06-30 00:00:00+00:00,44.31,45.0,42.38,44.97,1040978,8.7963546759,8.93333244,8.4132139735,8.927376885,5243732,0.0,1.0
ZBRA,2000-07-03 00:00:00+00:00,43.25,44.5,43.25,44.13,77778,8.5859250673,8.8340731907,8.5859250673,8.7606213462,391792,0.0,1.0
ZBRA,2000-07-05 00:00:00+00:00,43.75,43.75,42.69,43.56,312178,8.6851843167,8.6851843167,8.4747547081,8.6474658019,1572538,0.0,1.0
ZBRA,2000-07-06 00:00:00+00:00,45.75,46.25,42.88,43.56,390178,9.082221314,9.1814805633,8.5124732228,8.6474658019,1965449,0.0,1.0
ZBRA,2000-07-07 00:00:00+00:00,46.88,47.13,45.81,46.0,268844,9.3065472175,9.3561768422,9.0941324239,9.1318509387,1354251,0.0,1.0
ZBRA,2000-07-10 00:00:00+00:00,46.44,47.5,45.63,46.69,260800,9.2191990781,9.4296286867,9.0583990942,9.2688287027,1313731,0.0,1.0
ZBRA,2000-07-11 00:00:00+00:00,45.63,46.5,44.88,46.44,118178,9.0583990942,9.231110188,8.9095102202,9.2191990781,595299,0.0,1.0
ZBRA,2000-07-12 00:00:00+00:00,45.5,46.06,43.0,46.06,395067,9.0325916893,9.1437620486,8.5362954427,9.1437620486,1990076,0.0,1.0
ZBRA,2000-07-13 00:00:00+00:00,44.94,45.69,44.38,45.69,214578,8.9214213301,9.0703102041,8.8102509708,9.0703102041,1080896,0.0,1.0
ZBRA,2000-07-14 00:00:00+00:00,44.63,45.13,43.75,44.81,278978,8.8598805955,8.9591398448,8.6851843167,8.8956139253,1405299,0.0,1.0
ZBRA,2000-07-17 00:00:00+00:00,45.06,45.13,44.0,45.09,95200,8.9452435499,8.9591398448,8.7348139413,8.9511991049,479552,0.0,1.0
ZBRA,2000-07-18 00:00:00+00:00,41.94,45.13,41.88,45.09,335644,8.3258658341,8.9591398448,8.3139547242,8.9511991049,1690744,0.0,1.0
ZBRA,2000-07-19 00:00:00+00:00,43.5,46.19,42.33,42.38,523244,8.635554692,9.1695694534,8.4032880486,8.4132139735,2635744,0.0,1.0
ZBRA,2000-07-20 00:00:00+00:00,53.44,53.44,46.19,46.25,1155778,10.6088285687,10.6088285687,9.1695694534,9.1814805633,5822016,0.0,1.0
ZBRA,2000-07-21 00:00:00+00:00,49.88,51.56,48.88,51.41,503378,9.9021027135,10.2356137913,9.7035842148,10.2058360165,2535673,0.0,1.0
ZBRA,2000-07-24 00:00:00+00:00,50.0,50.63,49.13,50.13,266000,9.9259249333,10.0509915875,9.7532138395,9.9517323382,1339925,0.0,1.0
ZBRA,2000-07-25 00:00:00+00:00,49.19,51.0,48.13,50.44,189067,9.7651249494,10.124443432,9.5546953408,10.0132730727,952389,0.0,1.0
ZBRA,2000-07-26 00:00:00+00:00,50.0,50.13,49.0,49.59,364400,9.9259249333,9.9517323382,9.7274064347,9.8445323489,1835597,0.0,1.0
ZBRA,2000-07-27 00:00:00+00:00,49.38,51.75,49.13,50.25,351644,9.8028434642,10.273332306,9.7532138395,9.975554558,1771341,0.0,1.0
ZBRA,2000-07-28 00:00:00+00:00,48.25,49.03,46.5,48.88,127200,9.5785175607,9.7333619896,9.231110188,9.7035842148,640746,0.0,1.0
ZBRA,2000-07-31 00:00:00+00:00,51.06,51.5,47.5,48.25,178667,10.1363545419,10.2237026813,9.4296286867,9.5785175607,900001,0.0,1.0
ZBRA,2000-08-01 00:00:00+00:00,50.13,50.75,49.38,50.47,255200,9.9517323382,10.0748138073,9.8028434642,10.0192286277,1285522,0.0,1.0
ZBRA,2000-08-02 00:00:00+00:00,50.0,50.81,49.38,50.0,110178,9.9259249333,10.0867249173,9.8028434642,9.9259249333,555001,0.0,1.0
ZBRA,2000-08-03 00:00:00+00:00,50.94,51.0,48.63,49.31,118978,10.1125323221,10.124443432,9.6539545902,9.7889471693,599329,0.0,1.0
ZBRA,2000-08-04 00:00:00+00:00,52.5,52.75,50.44,50.97,136578,10.42222118,10.4718508047,10.0132730727,10.118487877,687986,0.0,1.0
ZBRA,2000-08-07 00:00:00+00:00,52.81,53.25,51.88,52.22,74000,10.4837619146,10.571110054,10.2991397108,10.3666360004,372761,0.0,1.0
ZBRA,2000-08-08 00:00:00+00:00,52.31,52.88,51.0,52.63,118578,10.3845026653,10.4976582095,10.124443432,10.4480285848,597314,0.0,1.0
ZBRA,2000-08-09 00:00:00+00:00,51.81,52.88,50.63,52.69,46578,10.2852434159,10.4976582095,10.0509915875,10.4599396947,234628,0.0,1.0
ZBRA,2000-08-10 00:00:00+00:00,50.5,52.25,50.5,51.69,42000,10.0251841827,10.3725915553,10.0251841827,10.2614211961,211567,0.0,1.0
ZBRA,2000-08-11 00:00:00+00:00,52.0,52.0,50.69,51.25,54800,10.3229619307,10.3229619307,10.0629026974,10.1740730567,276044,0.0,1.0
ZBRA,2000-08-14 00:00:00+00:00,53.0,53.25,50.81,50.81,111467,10.5214804293,10.571110054,10.0867249173,10.0867249173,561494,0.0,1.0
ZBRA,2000-08-15 00:00:00+00:00,51.88,52.75,51.5,52.06,84978,10.2991397108,10.4718508047,10.2237026813,10.3348730406,428060,0.0,1.0
